"CASEID","ALTERID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","TALKTO","SPOUSE","KIN"
19850017,5,38,13,"white","female","jewish","30s","Some College",2,2,0
19850018,1,48,13,"hispanic","female","catholic","40s","Some College",1,1,1
19850020,1,64,8,"white","female","catholic","60+","No HS",1,1,1
19850020,2,63,11,"white","male","catholic","60+","No HS",1,2,1
19850020,3,33,12,"white","female","catholic","30s","HS",2,2,1
19850020,4,36,12,"white","female","catholic","30s","HS",1,2,1
19850021,1,61,11,"white","female","catholic","60+","No HS",1,2,1
19850021,2,22,11,"white","female","catholic","20s","No HS",2,2,1
19850021,3,24,12,"white","female","other","20s","HS",1,2,0
19850021,4,28,11,"white","male","other","20s","No HS",1,1,1
19850021,5,21,12,"white","female","catholic","20s","HS",2,2,0
19850022,1,63,11,"white","male","catholic","60+","No HS",1,1,1
19850022,2,33,18,"white","male","catholic","30s","Post Graduate",2,2,1
19850022,3,31,12,"white","male","catholic","30s","HS",1,2,1
19850022,4,27,16,"white","female","catholic","20s","College",2,2,1
19850023,1,40,11,"white","male","catholic","40s","No HS",1,2,1
19850023,2,36,12,"white","female","catholic","30s","HS",2,2,1
19850024,1,56,12,"white","female","catholic","50s","HS",1,2,1
19850024,2,29,18,"white","male","catholic","20s","Post Graduate",2,2,1
19850025,1,69,12,"black","female","protestant","60+","HS",1,2,1
19850025,2,55,12,"black","male","protestant","50s","HS",1,2,1
19850025,3,60,NA,"black","male","protestant","60+",NA,2,2,0
19850025,4,75,NA,"black","male",NA,"60+",NA,3,2,0
19850026,1,40,16,"black","female","protestant","40s","College",1,2,0
19850026,2,38,14,"black","female","protestant","30s","Some College",1,2,0
19850027,1,35,18,"white","female","catholic","30s","Post Graduate",2,2,0
19850027,2,57,12,"black","male","catholic","50s","HS",2,2,1
19850028,1,63,16,"white","male","jewish","60+","College",1,1,1
19850028,2,28,18,"white","male","jewish","20s","Post Graduate",2,2,1
19850028,3,75,3.5,"white","male","jewish","60+","No HS",2,2,1
19850028,4,43,13,"white","female","jewish","40s","Some College",2,2,1
19850029,1,18,13,"white","male","catholic","20s","Some College",2,2,0
19850029,2,30,18,"white","male","jewish","30s","Post Graduate",2,2,0
19850029,3,18,11,"other","male","catholic","20s","No HS",2,2,0
19850030,1,30,13,"asian","female","other","30s","Some College",1,1,1
19850031,1,58,18,"white","male","jewish","50s","Post Graduate",1,1,1
19850031,2,45,16,"white","female","jewish","40s","College",2,2,0
19850031,3,40,16,"white","male","jewish","40s","College",2,2,0
19850031,4,38,12,"white","male","jewish","30s","HS",3,2,0
19850031,5,56,12,"white","female","jewish","50s","HS",1,2,0
19850032,1,33,16,"white","female","jewish","30s","College",1,2,1
19850032,2,28,13,"white","male","jewish","20s","Some College",1,1,1
19850032,3,25,13,"white","male","jewish","20s","Some College",2,2,1
19850032,4,54,12,"white","female","jewish","50s","HS",1,2,1
19850032,5,32,18,"white","female","jewish","30s","Post Graduate",3,2,1
19850033,1,35,14,"asian","female","none","30s","Some College",3,2,0
19850034,1,38,18,"white","male","catholic","30s","Post Graduate",3,2,1
19850034,2,23,16,"white","female","catholic","20s","College",1,1,1
19850034,3,26,16,"white","male","catholic","20s","College",3,2,0
19850035,1,32,8,"hispanic","female","protestant","30s","No HS",1,2,0
19850035,2,31,12,"hispanic","female","catholic","30s","HS",1,2,0
19850036,1,56,12,"white","male","jewish","50s","HS",1,2,1
19850037,1,39,12,"hispanic","male","catholic","30s","HS",1,2,0
19850037,2,54,12,"hispanic","male","catholic","50s","HS",2,2,0
19850037,3,20,11,"hispanic","female","catholic","20s","No HS",1,2,1
19850038,1,43,12,"black","female","catholic","40s","HS",1,2,0
19850038,2,59,8,"black","female","protestant","50s","No HS",1,2,1
19850038,3,60,8,"black","female","protestant","60+","No HS",1,2,1
19850038,4,62,11,"black","female","protestant","60+","No HS",1,2,0
19850040,1,31,13,"white","male","protestant","30s","Some College",1,1,1
19850040,2,38,13,"white","male","catholic","30s","Some College",1,2,1
19850040,3,34,11,"white","female","catholic","30s","No HS",1,2,1
19850040,4,61,12,"white","female","catholic","60+","HS",1,2,1
19850040,5,78,NA,"white","male","catholic","60+",NA,1,2,1
19850041,1,37,14,"white","male","protestant","30s","Some College",1,1,1
19850041,2,33,11,"white","female","other","30s","No HS",4,2,1
19850043,1,40,NA,"black","female","protestant","40s",NA,1,1,1
19850043,2,28,11,"black","male","other","20s","No HS",1,2,1
19850043,3,21,12,"black","male","other","20s","HS",1,2,1
19850043,4,32,11,"black","male","catholic","30s","No HS",1,2,1
19850043,5,68,NA,"black","female","other","60+",NA,1,2,1
19850044,1,54,12,"black","male",NA,"50s","HS",1,2,0
19850044,2,40,13,"hispanic","female","none","40s","Some College",1,2,0
19850045,1,29,16,"white","male","catholic","20s","College",2,2,0
19850045,2,35,16,"white","male","jewish","30s","College",2,2,1
19850045,3,59,16,"white","female","jewish","50s","College",1,2,0
19850045,4,31,16,"white","male","jewish","30s","College",1,2,1
19850045,5,60,16,"white","male","other","60+","College",1,2,0
19850046,1,54,8,"white","male","catholic","50s","No HS",1,2,1
19850046,2,25,13,"white","male","catholic","20s","Some College",1,2,1
19850046,3,30,12,"white","male","catholic","30s","HS",1,2,1
19850047,1,39,16,"white","male","jewish","30s","College",1,2,0
19850047,2,27,16,"white","female","jewish","20s","College",4,2,1
19850048,1,38,18,"white","male","protestant","30s","Post Graduate",2,2,0
19850048,2,36,16,"white","female","protestant","30s","College",1,2,0
19850048,3,34,18,"white","female","catholic","30s","Post Graduate",2,2,0
19850048,4,37,18,"white","female","catholic","30s","Post Graduate",1,2,0
19850048,5,36,14,"white","male","catholic","30s","Some College",1,1,1
19850049,1,24,12,"white","female","catholic","20s","HS",2,2,0
19850049,2,26,13,"white","female","catholic","20s","Some College",2,2,0
19850049,3,24,16,"white","female","catholic","20s","College",1,2,0
19850049,4,23,16,"white","female","catholic","20s","College",3,2,0
19850049,5,31,13,"white","female","catholic","30s","Some College",1,2,0
19850050,1,55,12,"white","female","catholic","50s","HS",1,2,1
19850050,2,50,12,"white","male","catholic","50s","HS",1,2,1
19850050,3,20,12,"white","female","catholic","20s","HS",1,2,0
19850051,1,32,12,"white","male","catholic","30s","HS",1,2,0
19850051,2,54,12,"black","male","other","50s","HS",1,2,0
19850051,3,25,12,"hispanic","male",NA,"20s","HS",1,2,0
19850051,4,42,12,"white","male",NA,"40s","HS",1,2,0
19850051,5,49,12,"white","male","protestant","40s","HS",1,2,0
19850052,1,29,16,"asian","female","other","20s","College",2,2,0
19850052,2,35,16,"asian","female","other","30s","College",1,2,0
19850052,3,35,16,"asian","female","other","30s","College",3,2,0
19850053,1,31,11,"white","male","catholic","30s","No HS",2,2,0
19850053,2,25,14,"white","female","catholic","20s","Some College",3,2,0
19850053,3,27,18,"white","male","other","20s","Post Graduate",3,2,0
19850053,4,30,16,"white","male","catholic","30s","College",1,2,0
19850053,5,56,16,"white","female","protestant","50s","College",3,2,1
19850054,1,28,13,"white","female","jewish","20s","Some College",2,2,0
19850054,2,29,16,"white","female","jewish","20s","College",3,2,0
19850054,3,31,12,"white","female","protestant","30s","HS",4,2,0
19850054,4,31,16,"white","female","catholic","30s","College",2,2,0
19850054,5,30,12,"white","female","catholic","30s","HS",2,2,1
19850055,1,40,8,"white","male","catholic","40s","No HS",1,1,1
19850055,2,27,12,"white","female","catholic","20s","HS",1,2,0
19850056,1,41,12,"white","male","catholic","40s","HS",1,1,1
19850056,2,42,12,"white","female","catholic","40s","HS",1,2,1
19850056,3,34,12,"white","female","catholic","30s","HS",2,2,0
19850056,4,68,12,"white","female","catholic","60+","HS",1,2,1
19850057,1,19,13,"asian","female","other","20s","Some College",2,2,0
19850057,2,70,8,"asian","female","protestant","60+","No HS",1,2,1
19850057,3,72,13,"asian","male","protestant","60+","Some College",1,2,1
19850058,1,39,13,"white","female","catholic","30s","Some College",1,1,1
19850058,2,55,13,"white","male","catholic","50s","Some College",1,2,1
19850058,3,36,16,"white","female",NA,"30s","College",2,2,0
19850058,4,55,13,"white","female","catholic","50s","Some College",2,2,1
19850058,5,25,13,"white","male","catholic","20s","Some College",1,2,1
19850059,1,50,14,"white","female","other","50s","Some College",1,2,1
19850059,2,54,18,"white","male","none","50s","Post Graduate",1,2,1
19850059,3,48,16,"white","male","other","40s","College",3,2,0
19850059,4,28,14,"white","female","other","20s","Some College",3,2,0
19850059,5,45,18,"white","female","other","40s","Post Graduate",2,2,0
19850060,1,79,16,"white","female","protestant","60+","College",2,2,1
19850060,2,46,13,"white","female","none","40s","Some College",1,2,0
19850060,3,38,16,"white","female","protestant","30s","College",1,2,0
19850060,4,38,18,"white","male","protestant","30s","Post Graduate",3,2,0
19850060,5,29,14,"white","female","protestant","20s","Some College",2,2,0
19850061,1,40,12,"white","male","protestant","40s","HS",2,2,0
19850061,2,35,18,"white","male","jewish","30s","Post Graduate",2,2,0
19850061,3,30,12,"white","female","catholic","30s","HS",2,2,1
19850061,4,35,16,"white","female","protestant","30s","College",3,2,0
19850061,5,40,18,"white","male","jewish","40s","Post Graduate",3,2,0
19850062,1,25,16,"white","female","other","20s","College",4,2,0
19850062,2,27,13,"white","female","none","20s","Some College",4,2,0
19850062,3,25,16,"black","male","protestant","20s","College",1,2,0
19850062,4,32,16,"white","male","none","30s","College",2,2,0
19850063,1,37,13,"white","female","catholic","30s","Some College",1,2,0
19850064,1,29,16,"white","male","none","20s","College",1,2,0
19850064,2,34,14,"white","male","none","30s","Some College",2,2,0
19850064,3,34,16,"white","male","none","30s","College",2,2,0
19850064,4,33,14,"hispanic","female","other","30s","Some College",3,2,0
19850064,5,29,16,"white","male","none","20s","College",2,2,0
19850065,1,60,18,"white","male","jewish","60+","Post Graduate",3,2,0
19850066,1,26,12,"black","male",NA,"20s","HS",3,2,0
19850066,2,37,12,"asian","male","other","30s","HS",2,2,0
19850067,1,51,18,"white","female","protestant","50s","Post Graduate",2,2,1
19850067,2,41,18,"white","male","protestant","40s","Post Graduate",2,2,1
19850067,3,27,18,"white","male","protestant","20s","Post Graduate",3,2,1
19850067,4,24,16,"white","male","protestant","20s","College",3,2,0
19850067,5,28,16,"white","female","protestant","20s","College",2,2,0
19850068,1,29,13,"black","female","protestant","20s","Some College",1,2,0
19850068,2,39,13,"black","male","none","30s","Some College",1,1,1
19850068,3,33,12,"black","female","protestant","30s","HS",2,2,1
19850069,1,59,18,"white","male","catholic","50s","Post Graduate",2,2,1
19850069,2,44,18,"white","female","jewish","40s","Post Graduate",2,2,1
19850069,3,48,18,"white","male",NA,"40s","Post Graduate",3,2,0
19850069,4,30,16,"white","female","protestant","30s","College",1,2,0
19850069,5,40,13,"white","male","other","40s","Some College",2,2,0
19850070,1,27,NA,"white","male","other","20s",NA,2,2,0
19850070,2,50,18,"white","male","protestant","50s","Post Graduate",1,2,0
19850070,3,55,11,"white","male","other","50s","No HS",2,2,0
19850070,4,28,13,"white","male","catholic","20s","Some College",2,2,0
19850070,5,22,13,"white","female","other","20s","Some College",2,2,0
19850071,1,34,18,"asian","male","none","30s","Post Graduate",1,1,1
19850071,2,27,18,"asian","female","none","20s","Post Graduate",2,2,0
19850071,3,29,18,"asian","female","catholic","20s","Post Graduate",2,2,0
19850072,1,58,12,"white","female","none","50s","HS",2,2,1
19850072,2,36,12,"white","male","none","30s","HS",3,2,0
19850072,3,35,12,"white","male","other","30s","HS",3,2,1
19850072,4,10,3.5,"white","female","none","20s","No HS",1,2,1
19850072,5,60,13,"white","female","none","60+","Some College",4,2,1
19850073,1,42,12,"asian","female","jewish","40s","HS",1,2,0
19850073,2,38,16,"white","female","protestant","30s","College",4,2,0
19850073,3,35,16,"asian","female","protestant","30s","College",4,2,0
19850073,4,42,12,"white","female","protestant","40s","HS",1,2,0
19850073,5,65,NA,"white","male","protestant","60+",NA,1,2,0
19850074,1,50,12,"white","female","protestant","50s","HS",2,2,1
19850075,1,50,16,"white","female","none","50s","College",1,2,0
19850077,1,38,16,"white","female","catholic","30s","College",3,2,1
19850077,2,36,13,"white","female","catholic","30s","Some College",1,2,0
19850077,3,29,12,"white","male","catholic","20s","HS",1,2,0
19850077,4,38,12,"hispanic","female","catholic","30s","HS",1,2,0
19850077,5,71,8,"white","female","catholic","60+","No HS",3,2,1
19850078,1,39,14,"white","male","protestant","30s","Some College",1,1,1
19850078,2,65,16,"white","female","protestant","60+","College",3,2,1
19850078,3,36,16,"white","female","protestant","30s","College",2,2,0
19850079,1,38,16,"white","male","protestant","30s","College",1,1,1
19850079,2,45,18,"white","male",NA,"40s","Post Graduate",3,2,0
19850079,3,42,12,"white","female","protestant","40s","HS",2,2,0
19850079,4,9,3.5,"white","male","protestant","20s","No HS",1,2,1
19850080,1,60,18,"white","male","jewish","60+","Post Graduate",3,2,0
19850080,2,23,13,"hispanic","male","protestant","20s","Some College",1,2,0
19850080,3,55,12,"white","female","catholic","50s","HS",3,2,0
19850080,4,55,13,"white","female","catholic","50s","Some College",1,2,1
19850080,5,29,13,"white","female","protestant","20s","Some College",1,2,1
19850081,1,43,13,"white","female","catholic","40s","Some College",1,2,0
19850081,2,32,13,"white","male","protestant","30s","Some College",1,1,1
19850082,1,40,16,"white","male","protestant","40s","College",1,1,1
19850083,1,75,12,"white","male","catholic","60+","HS",1,1,1
19850083,2,34,16,"white","female","protestant","30s","College",1,2,1
19850083,3,37,16,"white","female","protestant","30s","College",2,2,1
19850083,4,37,18,"white","female","protestant","30s","Post Graduate",2,2,1
19850084,1,43,16,"white","female","protestant","40s","College",1,1,1
19850084,2,44,13,"white","female","protestant","40s","Some College",1,2,0
19850084,3,36,18,"white","male","protestant","30s","Post Graduate",2,2,0
19850084,4,45,16,"white","male","protestant","40s","College",2,2,0
19850084,5,70,12,"white","female","protestant","60+","HS",2,2,1
19850085,1,47,13,"white","female","catholic","40s","Some College",2,2,0
19850085,2,40,13,"white","female","protestant","40s","Some College",2,2,0
19850085,3,40,18,"white","male","catholic","40s","Post Graduate",4,2,0
19850085,4,55,18,"white","male","protestant","50s","Post Graduate",4,2,0
19850085,5,35,16,"white","male","catholic","30s","College",4,2,0
19850086,1,60,13,"white","female","protestant","60+","Some College",2,2,1
19850086,2,62,16,"white","male","protestant","60+","College",1,2,1
19850087,1,56,13,"white","female","protestant","50s","Some College",3,2,0
19850087,2,56,16,"white","male","protestant","50s","College",3,2,0
19850087,3,45,13,"white","female","catholic","40s","Some College",2,2,0
19850087,4,58,16,"white","female","protestant","50s","College",4,2,0
19850087,5,58,18,"white","male","protestant","50s","Post Graduate",4,2,0
19850088,1,41,16,"white","male","protestant","40s","College",1,1,1
19850088,2,28,18,"white","female","catholic","20s","Post Graduate",3,2,1
19850088,3,15,8,"white","female","catholic","20s","No HS",1,2,1
19850088,4,13,8,"white","female","catholic","20s","No HS",1,2,1
19850088,5,9,3.5,"white","male","catholic","20s","No HS",1,2,1
19850089,1,55,18,"white","female","catholic","50s","Post Graduate",3,2,0
19850089,2,57,18,"white","male","catholic","50s","Post Graduate",3,2,0
19850089,3,40,18,"black","male","none","40s","Post Graduate",1,2,0
19850089,4,62,18,"white","female","none","60+","Post Graduate",1,2,0
19850089,5,35,18,"black","female","none","30s","Post Graduate",2,2,0
19850090,1,78,11,"white","female","protestant","60+","No HS",1,2,1
19850091,1,77,13,"white","male","protestant","60+","Some College",2,2,0
19850091,2,65,16,"white","male","protestant","60+","College",3,2,0
19850091,3,58,12,"white","male","protestant","50s","HS",3,2,1
19850091,4,54,12,"white","female","protestant","50s","HS",3,2,1
19850092,1,44,11,"black","female","protestant","40s","No HS",3,2,0
19850092,2,44,12,"black","female","protestant","40s","HS",1,2,1
19850093,1,38,13,"black","female","protestant","30s","Some College",2,2,0
19850093,2,33,13,"black","male","protestant","30s","Some College",1,2,0
19850093,3,43,16,"black","male","protestant","40s","College",1,2,0
19850093,4,49,13,"black","male","protestant","40s","Some College",2,2,0
19850094,1,29,14,"white","female","protestant","20s","Some College",3,2,1
19850094,2,72,8,"white","female","protestant","60+","No HS",4,2,1
19850095,1,30,11,"black","female","protestant","30s","No HS",2,2,1
19850096,1,20,8,"hispanic","female","catholic","20s","No HS",3,2,0
19850097,1,58,18,"other","male","other","50s","Post Graduate",1,2,1
19850098,1,46,13,"hispanic","female","catholic","40s","Some College",1,2,1
19850099,1,31,14,"white","male","protestant","30s","Some College",3,2,0
19850100,1,40,18,"white","female","catholic","40s","Post Graduate",2,2,0
19850100,2,65,18,"white","female","catholic","60+","Post Graduate",1,2,1
19850100,3,39,18,"white","male","catholic","30s","Post Graduate",1,2,1
19850100,4,87,11,"white","male","protestant","60+","No HS",4,2,1
19850100,5,81,18,"white","male","protestant","60+","Post Graduate",4,2,1
19850101,1,53,16,"white","male","jewish","50s","College",1,1,1
19850101,2,25,16,"white","male","protestant","20s","College",2,2,0
19850101,3,53,18,"white","male","protestant","50s","Post Graduate",2,2,0
19850101,4,35,18,"white","male","protestant","30s","Post Graduate",2,2,0
19850101,5,60,18,"white","male","protestant","60+","Post Graduate",3,2,0
19850102,1,79,NA,"white","female","protestant","60+",NA,1,2,0
19850102,2,44,16,"white","male","protestant","40s","College",1,2,1
19850102,3,46,18,"white","female",NA,"40s","Post Graduate",NA,NA,NA
19850102,4,67,18,"white","male","jewish","60+","Post Graduate",1,2,0
19850103,1,59,16,"white","male","catholic","50s","College",1,1,1
19850103,2,63,NA,"white","female",NA,"60+",NA,4,2,0
19850103,3,66,NA,"white","male",NA,"60+",NA,4,2,0
19850103,4,66,NA,"white","female",NA,"60+",NA,4,2,0
19850104,1,60,12,"white","female","catholic","60+","HS",1,2,1
19850104,2,62,12,"white","male","catholic","60+","HS",1,2,1
19850104,3,32,13,"white","male","protestant","30s","Some College",1,1,1
19850104,4,31,12,"white","male","catholic","30s","HS",2,2,1
19850105,1,54,13,"white","female","catholic","50s","Some College",1,1,1
19850105,2,31,13,"white","male","catholic","30s","Some College",2,2,0
19850105,3,30,14,"white","male","catholic","30s","Some College",2,2,0
19850105,4,27,12,"white","male","catholic","20s","HS",2,2,0
19850105,5,25,13,"white","female","catholic","20s","Some College",2,2,0
19850106,1,41,11,"white","female","protestant","40s","No HS",2,2,0
19850106,2,40,12,"white","female","protestant","40s","HS",2,2,0
19850106,3,46,16,"white","female","protestant","40s","College",3,2,0
19850106,4,36,16,"white","female","catholic","30s","College",1,2,0
19850106,5,55,13,"white","male","catholic","50s","Some College",1,1,1
19850107,1,39,13,"white","female","catholic","30s","Some College",1,1,1
19850107,2,46,12,"white","female","none","40s","HS",1,2,0
19850107,3,45,11,"white","male","none","40s","No HS",1,2,0
19850108,1,40,12,"white","male","catholic","40s","HS",1,2,0
19850108,2,65,12,"white","male","catholic","60+","HS",1,2,0
19850108,3,30,16,"black","female","catholic","30s","College",1,2,0
19850108,4,28,12,"hispanic","female",NA,"20s","HS",1,2,0
19850109,1,26,18,"black","male",NA,"20s","Post Graduate",2,2,0
19850109,2,21,13,"white","male",NA,"20s","Some College",2,2,1
19850109,3,60,18,"white","female","jewish","60+","Post Graduate",2,2,0
19850109,4,50,16,"white","female","catholic","50s","College",3,2,0
19850109,5,24,16,"white","female",NA,"20s","College",2,2,1
19850110,1,63,3.5,"white","female","protestant","60+","No HS",1,1,1
19850110,2,22,16,"white","female","protestant","20s","College",1,2,1
19850110,3,35,16,"white","female","protestant","30s","College",3,2,1
19850111,1,51,12,"white","female","protestant","50s","HS",1,2,0
19850111,2,49,13,"white","male","protestant","40s","Some College",1,2,0
19850111,3,47,12,"white","male","none","40s","HS",1,1,1
19850112,1,50,16,"asian","male","protestant","50s","College",2,2,0
19850112,2,40,16,"asian","female","protestant","40s","College",2,2,0
19850112,3,42,16,"asian","female","catholic","40s","College",1,2,1
19850113,1,27,13,"black","male","none","20s","Some College",4,2,0
19850113,2,29,16,"black","male","catholic","20s","College",4,2,0
19850113,3,38,18,"black","male",NA,"30s","Post Graduate",4,2,0
19850114,1,40,16,"white","female","protestant","40s","College",1,2,0
19850114,2,56,12,"white","female","catholic","50s","HS",2,2,0
19850114,3,30,12,"white","female","protestant","30s","HS",1,2,0
19850115,1,53,12,"white","male","catholic","50s","HS",1,2,0
19850115,2,42,12,"black","female",NA,"40s","HS",1,2,0
19850116,1,NA,16,"white","female","protestant",NA,"College",2,2,0
19850116,2,NA,16,"white","female","protestant",NA,"College",2,2,0
19850116,3,NA,16,"white","female","protestant",NA,"College",2,2,0
19850116,4,NA,16,"white","female","protestant",NA,"College",2,2,0
19850116,5,NA,16,"white","female","protestant",NA,"College",2,2,0
19850117,1,40,8,"white","female","protestant","40s","No HS",1,2,0
19850117,2,35,NA,"white","female","catholic","30s",NA,3,2,1
19850117,3,38,NA,"white","male","catholic","30s",NA,3,2,1
19850117,4,45,NA,"white","male","catholic","40s",NA,2,2,0
19850118,1,33,12,"white","female","catholic","30s","HS",3,2,1
19850118,2,35,8,"white","male","catholic","30s","No HS",3,2,1
19850118,3,30,11,"white","male","catholic","30s","No HS",3,2,1
19850119,1,26,12,"hispanic","male","catholic","20s","HS",1,2,0
19850119,2,24,8,"hispanic","female","catholic","20s","No HS",1,1,1
19850119,3,64,NA,"hispanic","male","catholic","60+",NA,1,2,1
19850119,4,58,3.5,"hispanic","female","catholic","50s","No HS",1,2,1
19850120,1,55,NA,"white","male",NA,"50s",NA,4,2,0
19850120,2,80,NA,"white","male",NA,"60+",NA,3,2,0
19850120,3,NA,NA,"hispanic","female",NA,NA,NA,1,1,1
19850121,1,40,12,"black","female","protestant","40s","HS",1,2,1
19850122,1,34,12,"black","female","protestant","30s","HS",1,1,1
19850123,1,40,13,"black","male","protestant","40s","Some College",2,2,0
19850123,2,30,13,"black","male","protestant","30s","Some College",2,2,0
19850123,3,35,13,"black","female","protestant","30s","Some College",1,2,1
19850123,4,30,16,"black","female","protestant","30s","College",1,2,1
19850123,5,23,13,"black","female","protestant","20s","Some College",2,2,0
19850124,1,34,18,"white","female","jewish","30s","Post Graduate",3,2,0
19850124,2,40,18,"black","female","protestant","40s","Post Graduate",1,2,0
19850126,1,59,16,"white","male","protestant","50s","College",3,2,0
19850126,2,48,16,"white","male","protestant","40s","College",3,2,0
19850127,1,48,16,"white","female","protestant","40s","College",1,2,1
19850127,2,50,18,"white","male","protestant","50s","Post Graduate",1,2,1
19850128,1,64,8,"white","male","protestant","60+","No HS",1,1,1
19850128,2,56,16,"white","female","protestant","50s","College",4,2,0
19850128,3,47,12,"white","female","protestant","40s","HS",1,2,0
19850128,4,84,3.5,"white","female","protestant","60+","No HS",1,2,1
19850129,1,41,16,"white","female","none","40s","College",1,1,1
19850129,2,37,18,"white","male","protestant","30s","Post Graduate",1,2,0
19850129,3,43,18,"white","male","catholic","40s","Post Graduate",1,2,0
19850130,1,61,12,"white","female","catholic","60+","HS",1,2,1
19850130,2,62,12,"white","male","catholic","60+","HS",1,2,1
19850130,3,30,16,"white","male","protestant","30s","College",1,1,1
19850130,4,30,16,"white","female","catholic","30s","College",3,2,0
19850130,5,40,18,"white","male","catholic","40s","Post Graduate",2,2,0
19850131,1,35,13,"white","male","protestant","30s","Some College",1,1,1
19850131,2,42,13,"white","female","protestant","40s","Some College",2,2,0
19850131,3,66,12,"white","female","protestant","60+","HS",2,2,1
19850131,4,51,16,"white","female","protestant","50s","College",3,2,1
19850131,5,48,18,"white","female","protestant","40s","Post Graduate",4,2,1
19850132,1,29,18,"white","female","catholic","20s","Post Graduate",3,2,1
19850132,2,34,18,"white","female","none","30s","Post Graduate",2,2,1
19850132,3,41,13,"white","male","protestant","40s","Some College",1,1,1
19850132,4,66,12,"white","female","catholic","60+","HS",2,2,1
19850132,5,67,13,"white","male","catholic","60+","Some College",2,2,1
19850133,1,43,13,"white","female","catholic","40s","Some College",1,2,0
19850133,2,46,12,"white","female","protestant","40s","HS",2,2,0
19850133,3,46,12,"white","male","protestant","40s","HS",1,2,0
