"CASEID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","NUMGIVEN","HAPPY","HEALTH","PARTYID","WTSSALL","AGE1","AGE2","AGE3","AGE4","AGE5","EDUC1","EDUC2","EDUC3","EDUC4","EDUC5","RACE1","RACE2","RACE3","RACE4","RACE5","SEX1","SEX2","SEX3","SEX4","SEX5","RELIG1","RELIG2","RELIG3","RELIG4","RELIG5","AGE_CATEGORICAL1","AGE_CATEGORICAL2","AGE_CATEGORICAL3","AGE_CATEGORICAL4","AGE_CATEGORICAL5","EDUC_CATEGORICAL1","EDUC_CATEGORICAL2","EDUC_CATEGORICAL3","EDUC_CATEGORICAL4","EDUC_CATEGORICAL5","TALKTO1","TALKTO2","TALKTO3","TALKTO4","TALKTO5","SPOUSE1","SPOUSE2","SPOUSE3","SPOUSE4","SPOUSE5","KIN1","KIN2","KIN3","KIN4","KIN5","CLOSE12","CLOSE13","CLOSE14","CLOSE15","CLOSE23","CLOSE24","CLOSE25","CLOSE34","CLOSE35","CLOSE45"
19850011,32,16,"hispanic","male","catholic","30s","College",3,1,3,1,1.0363,25,31,23,NA,NA,13,13,13,NA,NA,"hispanic","hispanic","hispanic",NA,NA,"male","male","female",NA,NA,"catholic","catholic","catholic",NA,NA,"20s","30s","20s",NA,NA,"Some College","Some College","Some College",NA,NA,2,2,1,NA,NA,2,2,1,NA,NA,1,0,1,NA,NA,1,0,NA,NA,1,NA,NA,NA,NA,NA
19850012,71,10,"black","male","protestant","60+","No HS",0,3,4,0,1.5544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850013,79,4,"black","female","protestant","60+","No HS",3,1,1,1,0.5181,57,57,73,NA,NA,12,12,12,NA,NA,"black","black","black",NA,NA,"female","female","male",NA,NA,"protestant","protestant","protestant",NA,NA,"50s","50s","60+",NA,NA,"HS","HS","HS",NA,NA,2,3,1,NA,NA,2,2,2,NA,NA,1,0,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
19850014,73,4,"black","male","protestant","60+","No HS",2,3,4,1,1.0363,63,57,NA,NA,NA,8,NA,NA,NA,NA,"black","black",NA,NA,NA,"female","male",NA,NA,NA,"protestant","protestant",NA,NA,NA,"60+","50s",NA,NA,NA,"No HS",NA,NA,NA,NA,1,2,NA,NA,NA,1,2,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850015,77,7,"black","female","protestant","60+","No HS",0,2,3,0,0.5181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850016,30,14,"hispanic","female","catholic","30s","Some College",3,2,2,5,1.0363,45,51,33,NA,NA,12,18,13,NA,NA,"white","white","white",NA,NA,"female","female","female",NA,NA,"catholic","jewish","catholic",NA,NA,"40s","50s","30s",NA,NA,"HS","Post Graduate","Some College",NA,NA,1,2,2,NA,NA,2,2,2,NA,NA,0,1,0,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA
19850017,69,12,"white","female","jewish","60+","HS",5,3,3,1,1.0363,69,NA,34,40,38,12,NA,16,18,13,"white","white","white","white","white","male","female","male","female","female","jewish","catholic","jewish","jewish","jewish","60+",NA,"30s","40s","30s","HS",NA,"College","Post Graduate","Some College",1,2,1,2,2,1,2,2,2,2,1,0,1,1,0,1,2,2,2,1,1,1,2,1,2
19850018,59,3,"hispanic","male","catholic","50s","No HS",1,1,2,1,1.0363,48,NA,NA,NA,NA,13,NA,NA,NA,NA,"hispanic",NA,NA,NA,NA,"female",NA,NA,NA,NA,"catholic",NA,NA,NA,NA,"40s",NA,NA,NA,NA,"Some College",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850019,67,7,"white","female","jewish","60+","No HS",0,1,3,1,1.0363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850020,68,8,"white","male","catholic","60+","No HS",4,2,2,6,1.0363,64,63,33,36,NA,8,11,12,12,NA,"white","white","white","white",NA,"female","male","female","female",NA,"catholic","catholic","catholic","catholic",NA,"60+","60+","30s","30s",NA,"No HS","No HS","HS","HS",NA,1,1,2,1,NA,1,2,2,2,NA,1,1,1,1,NA,2,2,2,NA,1,1,NA,2,NA,NA
19850021,28,12,"white","female","catholic","20s","HS",5,2,1,5,1.0363,61,22,24,28,21,11,11,12,11,12,"white","white","white","white","white","female","female","female","male","female","catholic","catholic","other","other","catholic","60+","20s","20s","20s","20s","No HS","No HS","HS","No HS","HS",1,2,1,1,2,2,2,2,1,2,1,1,0,1,0,1,1,1,1,0,1,0,1,0,1
19850022,59,11,"white","female","catholic","50s","No HS",4,1,1,0,1.0363,63,33,31,27,NA,11,18,12,16,NA,"white","white","white","white",NA,"male","male","male","female",NA,"catholic","catholic","catholic","catholic",NA,"60+","30s","30s","20s",NA,"No HS","Post Graduate","HS","College",NA,1,2,1,2,NA,1,2,2,2,NA,1,1,1,1,NA,2,2,2,NA,2,2,NA,2,NA,NA
19850023,69,8,"white","female","catholic","60+","No HS",2,2,2,1,1.0363,40,36,NA,NA,NA,11,12,NA,NA,NA,"white","white",NA,NA,NA,"male","female",NA,NA,NA,"catholic","catholic",NA,NA,NA,"40s","30s",NA,NA,NA,"No HS","HS",NA,NA,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850024,27,14,"hispanic","female","catholic","20s","Some College",2,1,2,5,1.0363,56,29,NA,NA,NA,12,18,NA,NA,NA,"white","white",NA,NA,NA,"female","male",NA,NA,NA,"catholic","catholic",NA,NA,NA,"50s","20s",NA,NA,NA,"HS","Post Graduate",NA,NA,NA,1,2,NA,NA,NA,2,2,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850025,81,12,"black","male","protestant","60+","HS",4,2,3,1,0.5181,69,55,60,75,NA,12,12,NA,NA,NA,"black","black","black","black",NA,"female","male","male","male",NA,"protestant","protestant","protestant",NA,NA,"60+","50s","60+","60+",NA,"HS","HS",NA,NA,NA,1,1,2,3,NA,2,2,2,2,NA,1,1,0,0,NA,1,0,0,NA,0,0,NA,NA,NA,NA
19850026,42,12,"black","male","none","40s","HS",2,2,2,3,0.5181,40,38,NA,NA,NA,16,14,NA,NA,NA,"black","black",NA,NA,NA,"female","female",NA,NA,NA,"protestant","protestant",NA,NA,NA,"40s","30s",NA,NA,NA,"College","Some College",NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850027,38,16,"black","female","catholic","30s","College",2,3,1,2,0.5181,35,57,NA,NA,NA,18,12,NA,NA,NA,"white","black",NA,NA,NA,"female","male",NA,NA,NA,"catholic","catholic",NA,NA,NA,"30s","50s",NA,NA,NA,"Post Graduate","HS",NA,NA,NA,2,2,NA,NA,NA,2,2,NA,NA,NA,0,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850028,54,12,"white","female","jewish","50s","HS",4,3,2,5,2.0725,63,28,75,43,NA,16,18,3.5,13,NA,"white","white","white","white",NA,"male","male","male","female",NA,"jewish","jewish","jewish","jewish",NA,"60+","20s","60+","40s",NA,"College","Post Graduate","No HS","Some College",NA,1,2,2,2,NA,1,2,2,2,NA,1,1,1,1,NA,1,1,1,NA,0,1,NA,2,NA,NA
19850029,18,11,"black","male","catholic","20s","No HS",3,3,2,0,1.0363,18,30,18,NA,NA,13,18,11,NA,NA,"white","white","other",NA,NA,"male","male","male",NA,NA,"catholic","jewish","catholic",NA,NA,"20s","30s","20s",NA,NA,"Some College","Post Graduate","No HS",NA,NA,2,2,2,NA,NA,2,2,2,NA,NA,0,0,0,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
19850030,32,12,"asian","male","other","30s","HS",1,1,1,4,1.0363,30,NA,NA,NA,NA,13,NA,NA,NA,NA,"asian",NA,NA,NA,NA,"female",NA,NA,NA,NA,"other",NA,NA,NA,NA,"30s",NA,NA,NA,NA,"Some College",NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850031,56,16,"white","female","jewish","50s","College",6,2,1,1,1.0363,58,45,40,38,56,18,16,16,12,12,"white","white","white","white","white","male","female","male","male","female","jewish","jewish","jewish","jewish","jewish","50s","40s","40s","30s","50s","Post Graduate","College","College","HS","HS",1,2,2,3,1,1,2,2,2,2,1,0,0,0,0,1,1,2,1,1,0,0,0,0,0
19850032,32,16,"white","female","jewish","30s","College",5,1,2,1,1.0363,33,28,25,54,32,16,13,13,12,18,"white","white","white","white","white","female","male","male","female","female","jewish","jewish","jewish","jewish","jewish","30s","20s","20s","50s","30s","College","Some College","Some College","HS","Post Graduate",1,1,2,1,3,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,2,1,1
19850033,30,14,"asian","female","none","30s","Some College",1,2,3,3,1.0363,35,NA,NA,NA,NA,14,NA,NA,NA,NA,"asian",NA,NA,NA,NA,"female",NA,NA,NA,NA,"none",NA,NA,NA,NA,"30s",NA,NA,NA,NA,"Some College",NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850034,27,16,"white","male","catholic","20s","College",3,2,2,5,1.0363,38,23,26,NA,NA,18,16,16,NA,NA,"white","white","white",NA,NA,"male","female","male",NA,NA,"catholic","catholic","catholic",NA,NA,"30s","20s","20s",NA,NA,"Post Graduate","College","College",NA,NA,3,1,3,NA,NA,2,1,2,NA,NA,1,1,0,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,NA
19850035,24,10,"black","female","protestant","20s","No HS",2,2,2,3,0.5181,32,31,NA,NA,NA,8,12,NA,NA,NA,"hispanic","hispanic",NA,NA,NA,"female","female",NA,NA,NA,"protestant","catholic",NA,NA,NA,"30s","30s",NA,NA,NA,"No HS","HS",NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850036,84,7,"white","male","jewish","60+","No HS",1,2,3,1,0.5181,56,NA,NA,NA,NA,12,NA,NA,NA,NA,"white",NA,NA,NA,NA,"male",NA,NA,NA,NA,"jewish",NA,NA,NA,NA,"50s",NA,NA,NA,NA,"HS",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850037,54,9,"hispanic","female","catholic","50s","No HS",3,2,3,1,1.5544,39,54,20,NA,NA,12,12,11,NA,NA,"hispanic","hispanic","hispanic",NA,NA,"male","male","female",NA,NA,"catholic","catholic","catholic",NA,NA,"30s","50s","20s",NA,NA,"HS","HS","No HS",NA,NA,1,2,1,NA,NA,2,2,2,NA,NA,0,0,1,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA
19850038,41,5,"black","female","protestant","40s","No HS",4,3,3,1,1.0363,43,59,60,62,NA,12,8,8,11,NA,"black","black","black","black",NA,"female","female","female","female",NA,"catholic","protestant","protestant","protestant",NA,"40s","50s","60+","60+",NA,"HS","No HS","No HS","No HS",NA,1,1,1,1,NA,2,2,2,2,NA,0,1,1,0,NA,0,1,1,NA,1,1,NA,1,NA,NA
19850039,NA,13,"black","female","protestant",NA,"Some College",0,2,2,1,1.5544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850040,31,11,"white","female","protestant","30s","No HS",5,2,1,4,1.0363,31,38,34,61,78,13,13,11,12,NA,"white","white","white","white","white","male","male","female","female","male","protestant","catholic","catholic","catholic","catholic","30s","30s","30s","60+","60+","Some College","Some College","No HS","HS",NA,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
19850041,32,10,"white","female","protestant","30s","No HS",2,2,3,3,1.0363,37,33,NA,NA,NA,14,11,NA,NA,NA,"white","white",NA,NA,NA,"male","female",NA,NA,NA,"protestant","other",NA,NA,NA,"30s","30s",NA,NA,NA,"Some College","No HS",NA,NA,NA,1,4,NA,NA,NA,1,2,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850042,56,12,"black","male","protestant","50s","HS",0,2,1,0,1.0363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850043,58,12,"black","male","protestant","50s","HS",5,2,3,1,1.5544,40,28,21,32,68,NA,11,12,11,NA,"black","black","black","black","black","female","male","male","male","female","protestant","other","other","catholic","other","40s","20s","20s","30s","60+",NA,"No HS","HS","No HS",NA,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
19850044,40,13,"white","female","catholic","40s","Some College",2,2,3,1,1.5544,54,40,NA,NA,NA,12,13,NA,NA,NA,"black","hispanic",NA,NA,NA,"male","female",NA,NA,NA,NA,"none",NA,NA,NA,"50s","40s",NA,NA,NA,"HS","Some College",NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,0,0,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850045,68,16,"white","male","jewish","60+","College",5,3,3,0,1.0363,29,35,59,31,60,16,16,16,16,16,"white","white","white","white","white","male","male","female","male","male","catholic","jewish","jewish","jewish","other","20s","30s","50s","30s","60+","College","College","College","College","College",2,2,1,1,1,2,2,2,2,2,0,1,0,1,0,0,2,0,0,2,1,1,0,1,1
19850046,26,12,"white","male","catholic","20s","HS",3,1,1,4,0.5181,54,25,30,NA,NA,8,13,12,NA,NA,"white","white","white",NA,NA,"male","male","male",NA,NA,"catholic","catholic","catholic",NA,NA,"50s","20s","30s",NA,NA,"No HS","Some College","HS",NA,NA,1,1,1,NA,NA,2,2,2,NA,NA,1,1,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
19850047,59,12,"white","female","jewish","50s","HS",2,3,2,1,0.5181,39,27,NA,NA,NA,16,16,NA,NA,NA,"white","white",NA,NA,NA,"male","female",NA,NA,NA,"jewish","jewish",NA,NA,NA,"30s","20s",NA,NA,NA,"College","College",NA,NA,NA,1,4,NA,NA,NA,2,2,NA,NA,NA,0,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850048,33,14,"white","female","protestant","30s","Some College",5,2,2,3,1.0363,38,36,34,37,36,18,16,18,18,14,"white","white","white","white","white","male","female","female","female","male","protestant","protestant","catholic","catholic","catholic","30s","30s","30s","30s","30s","Post Graduate","College","Post Graduate","Post Graduate","Some College",2,1,2,1,1,2,2,2,2,1,0,0,0,0,1,2,1,NA,0,NA,NA,0,NA,NA,0
19850049,27,15,"white","female","catholic","20s","Some College",5,2,2,5,0.5181,24,26,24,23,31,12,13,16,16,13,"white","white","white","white","white","female","female","female","female","female","catholic","catholic","catholic","catholic","catholic","20s","20s","20s","20s","30s","HS","Some College","College","College","Some College",2,2,1,3,1,2,2,2,2,2,0,0,0,0,0,2,1,1,1,1,1,1,1,1,0
19850050,23,12,"white","male","catholic","20s","HS",3,2,2,3,1.5544,55,50,20,NA,NA,12,12,12,NA,NA,"white","white","white",NA,NA,"female","male","female",NA,NA,"catholic","catholic","catholic",NA,NA,"50s","50s","20s",NA,NA,"HS","HS","HS",NA,NA,1,1,1,NA,NA,2,2,2,NA,NA,1,1,0,NA,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA
19850051,49,12,"white","male","catholic","40s","HS",5,2,2,6,1.5544,32,54,25,42,49,12,12,12,12,12,"white","black","hispanic","white","white","male","male","male","male","male","catholic","other",NA,NA,"protestant","30s","50s","20s","40s","40s","HS","HS","HS","HS","HS",1,1,1,1,1,2,2,2,2,2,0,0,0,0,0,2,2,2,2,1,2,2,2,2,2
19850052,38,14,"asian","female","other","30s","Some College",3,2,1,1,1.0363,29,35,35,NA,NA,16,16,16,NA,NA,"asian","asian","asian",NA,NA,"female","female","female",NA,NA,"other","other","other",NA,NA,"20s","30s","30s",NA,NA,"College","College","College",NA,NA,2,1,3,NA,NA,2,2,2,NA,NA,0,0,0,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA
19850053,24,15,"white","female","protestant","20s","Some College",5,2,1,4,0.5181,31,25,27,30,56,11,14,18,16,16,"white","white","white","white","white","male","female","male","male","female","catholic","catholic","other","catholic","protestant","30s","20s","20s","30s","50s","No HS","Some College","Post Graduate","College","College",2,3,3,1,3,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
19850054,32,12,"white","female","catholic","30s","HS",5,2,2,3,1.0363,28,29,31,31,30,13,16,12,16,12,"white","white","white","white","white","female","female","female","female","female","jewish","jewish","protestant","catholic","catholic","20s","20s","30s","30s","30s","Some College","College","HS","College","HS",2,3,4,2,2,2,2,2,2,2,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0
19850055,33,13,"white","female","catholic","30s","Some College",2,2,2,1,1.0363,40,27,NA,NA,NA,8,12,NA,NA,NA,"white","white",NA,NA,NA,"male","female",NA,NA,NA,"catholic","catholic",NA,NA,NA,"40s","20s",NA,NA,NA,"No HS","HS",NA,NA,NA,1,1,NA,NA,NA,1,2,NA,NA,NA,1,0,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850056,40,12,"white","female","catholic","40s","HS",4,2,2,5,1.0363,41,42,34,68,NA,12,12,12,12,NA,"white","white","white","white",NA,"male","female","female","female",NA,"catholic","catholic","catholic","catholic",NA,"40s","40s","30s","60+",NA,"HS","HS","HS","HS",NA,1,1,2,1,NA,1,2,2,2,NA,1,1,0,1,NA,1,1,1,NA,1,2,NA,1,NA,NA
19850057,24,14,"white","male","protestant","20s","Some College",3,1,2,0,3.6269,19,70,72,NA,NA,13,8,13,NA,NA,"asian","asian","asian",NA,NA,"female","female","male",NA,NA,"other","protestant","protestant",NA,NA,"20s","60+","60+",NA,NA,"Some College","No HS","Some College",NA,NA,2,1,1,NA,NA,2,2,2,NA,NA,0,1,1,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA
19850058,29,15,"white","male","catholic","20s","Some College",6,2,1,3,1.0363,39,55,36,55,25,13,13,16,13,13,"white","white","white","white","white","female","male","female","female","male","catholic","catholic",NA,"catholic","catholic","30s","50s","30s","50s","20s","Some College","Some College","College","Some College","Some College",1,1,2,2,1,1,2,2,2,2,1,1,0,1,1,2,1,1,1,1,2,2,1,2,2
19850059,28,15,"white","female","other","20s","Some College",5,2,1,0,0.5181,50,54,48,28,45,14,18,16,14,18,"white","white","white","white","white","female","male","male","female","female","other","none","other","other","other","50s","50s","40s","20s","40s","Some College","Post Graduate","College","Some College","Post Graduate",1,1,3,3,2,2,2,2,2,2,1,1,0,0,0,2,0,1,1,0,0,0,2,1,1
19850060,39,20,"white","female","other","30s","Post Graduate",5,2,1,2,0.5181,79,46,38,38,29,16,13,16,18,14,"white","white","white","white","white","female","female","female","male","female","protestant","none","protestant","protestant","protestant","60+","40s","30s","30s","20s","College","Some College","College","Post Graduate","Some College",2,1,1,3,2,2,2,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
19850061,41,13,"white","male","none","40s","Some College",5,2,1,5,0.5181,40,35,30,35,40,12,18,12,16,18,"white","white","white","white","white","male","male","female","female","male","protestant","jewish","catholic","protestant","jewish","40s","30s","30s","30s","40s","HS","Post Graduate","HS","College","Post Graduate",2,2,2,3,3,2,2,2,2,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0
19850062,32,16,"white","male","protestant","30s","College",4,2,2,1,1.0363,25,27,25,32,NA,16,13,16,16,NA,"white","white","black","white",NA,"female","female","male","male",NA,"other","none","protestant","none",NA,"20s","20s","20s","30s",NA,"College","Some College","College","College",NA,4,4,1,2,NA,2,2,2,2,NA,0,0,0,0,NA,0,1,0,NA,0,0,NA,2,NA,NA
19850063,31,12,"white","male","protestant","30s","HS",1,3,2,0,0.5181,37,NA,NA,NA,NA,13,NA,NA,NA,NA,"white",NA,NA,NA,NA,"female",NA,NA,NA,NA,"catholic",NA,NA,NA,NA,"30s",NA,NA,NA,NA,"Some College",NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19850064,28,16,"white","female","none","20s","College",5,2,2,1,0.5181,29,34,34,33,29,16,14,16,14,16,"white","white","white","hispanic","white","male","male","male","female","male","none","none","none","other","none","20s","30s","30s","30s","20s","College","Some College","College","Some College","College",1,2,2,3,2,2,2,2,2,2,0,0,0,0,0,1,1,0,2,0,0,0,NA,0,0
19850065,69,10,"white","female","protestant","60+","No HS",1,2,3,0,0.5181,60,NA,NA,NA,NA,18,NA,NA,NA,NA,"white",NA,NA,NA,NA,"male",NA,NA,NA,NA,"jewish",NA,NA,NA,NA,"60+",NA,NA,NA,NA,"Post Graduate",NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
