"ids" "gender" "race" "grade" "toa"
88 "male" "white" 10 7
89 "male" "white" 10 NA
90 "male" "white" 12 6
91 "male" "white" 9 1
92 "female" "white" 9 1
93 "male" "other" 10 4
94 "female" "white" 9 NA
95 "female" "white" 12 3
96 "male" "white" 12 6
97 "female" "white" 10 3
98 "male" "other" 9 NA
99 "female" "white" 11 8
100 "male" "white" 11 5
101 "male" "white" 11 5
102 "male" "white" 9 6
103 "female" "white" 12 4
104 "female" "white" 12 9
105 "male" "white" 11 8
106 "female" "white" 10 7
107 "female" "white" 10 6
108 "male" "white" 11 5
109 "male" "hispanic" 10 6
110 "male" "white" 11 9
111 "male" "white" 10 5
112 "female" "white" 12 5
113 "male" "other" 10 9
114 "female" "white" 10 7
115 "male" "white" 12 5
116 "male" "white" 12 6
117 "male" "white" 10 6
118 "male" "hispanic" 11 5
119 "male" "white" 9 5
120 "male" "white" 11 6
121 "male" "white" 11 4
122 "female" "white" 11 6
123 "female" "white" 12 NA
124 "male" "white" 11 6
125 "female" "white" 11 5
126 "male" "white" 9 8
127 "female" "white" 10 4
128 "female" "white" 12 5
129 "male" "white" 11 7
130 "male" "white" 10 4
131 "female" "white" 11 3
132 "male" "white" 9 5
133 "female" "white" 12 NA
134 "female" "white" 11 3
135 "female" "white" 10 2
136 "male" "white" 12 2
137 "female" "white" 11 5
138 "male" "white" 10 1
139 "female" "white" 9 4
140 "male" "white" 11 3
141 "male" "white" 9 3
142 "male" "white" 10 NA
143 "male" "white" 11 6
144 "female" "white" 12 4
145 "male" "white" 11 NA
146 "male" "white" 10 6
147 "male" "white" 12 5
148 "male" "white" 11 3
149 "male" "white" 9 6
150 "male" "hispanic" 12 NA
151 "female" "white" 10 7
152 "female" "white" 9 NA
153 "female" "white" 11 1
154 "male" "white" 12 3
155 "male" "white" 10 7
156 "female" "white" 9 3
157 "female" "white" 11 5
158 "female" "white" 12 NA
159 "male" "white" 9 4
160 "male" "white" 10 NA
161 "male" "white" 9 8
162 "male" "other" 10 3
163 "female" "white" 11 8
164 "male" "white" 12 4
165 "female" "white" 9 6
166 "female" "white" 9 4
167 "male" "white" 12 NA
168 "female" "white" 11 6
169 "female" "white" 12 8
170 "male" "other" 11 7
171 "male" "white" 12 9
172 "male" "white" 11 4
173 "female" "white" 12 8
174 "male" "white" 12 7
175 "female" "white" 9 NA
176 "female" "white" 11 8
177 "female" "white" 10 5
178 "male" "white" 10 NA
179 "male" "white" 10 8
180 "male" "white" 9 8
181 "male" "white" 12 2
182 "male" "white" 9 6
183 "female" "white" 11 1
184 "female" "white" 9 6
185 "female" "white" 12 6
186 "male" "white" 10 4
187 "female" "white" 12 4
188 "female" "white" 9 3
189 "male" "white" 10 6
190 "female" "white" 11 5
191 "female" "white" 12 3
192 "female" "white" 10 4
193 "male" "white" 10 8
194 "male" "white" 11 7
195 "male" "other" 12 3
196 "male" "white" 10 NA
197 "female" "white" 11 6
198 "female" "white" 9 6
199 "female" "white" 10 5
200 "male" "white" 11 5
201 "male" "white" 12 3
202 "female" "white" 9 5
203 "male" "white" 11 5
204 "male" "white" 12 NA
205 "female" "white" 9 6
206 "male" "white" 11 7
207 "male" "white" 10 5
208 "male" "white" 11 NA
209 "female" "white" 9 5
210 "female" "white" 12 3
211 "male" "hispanic" 10 NA
212 "male" "white" 12 2
213 "male" "white" 12 5
214 "male" "white" 9 2
215 "female" "white" 9 5
216 "female" "other" 10 NA
217 "female" "white" 11 3
218 "male" "white" 12 1
219 "male" "white" 12 4
220 "male" "white" 10 2
221 "male" "white" 9 4
222 "female" "white" 10 8
223 "female" "white" 12 NA
224 "male" "white" 11 2
225 "female" "white" 11 6
226 "female" "white" 9 5
227 "male" "white" 10 4
228 "male" "white" 9 4
229 "male" "hispanic" 10 4
230 "female" "white" 9 6
231 "male" "white" 10 7
232 "male" "hispanic" 9 8
233 "male" "white" 10 3
234 "male" "white" 9 7
235 "male" "white" 11 2
236 "female" "white" 9 8
237 "female" "white" 11 7
238 "male" "white" 9 6
239 "female" "white" 12 7
240 "male" "hispanic" 12 5
241 "female" "white" 11 4
242 "female" "white" 9 3
243 "female" "white" 10 3
244 "male" "white" 11 2
245 "male" "white" 11 9
246 "female" "white" 10 6
247 "male" "white" 10 NA
248 "male" "white" 9 7
249 "female" "white" 11 6
250 "female" "white" 10 6
251 "male" "white" 10 6
252 "female" "white" 10 5
253 "female" "white" 12 2
254 "female" "white" 12 5
255 "female" "white" 11 8
256 "male" "white" 12 NA
257 "female" "white" 11 5
258 "male" "white" 9 3
259 "male" "white" 11 6
260 "female" "white" 11 5
261 "female" "white" 10 6
262 "female" "white" 9 5
263 "male" "white" 12 4
264 "male" "white" 12 5
265 "female" "white" 10 6
266 "male" "white" 10 4
267 "female" "white" 11 6
268 "male" "white" 12 3
269 "female" "white" 9 6
270 "male" "white" 9 5
271 "male" "white" 10 6
272 "male" "white" 11 NA
273 "female" "white" 10 8
274 "female" "white" 12 4
275 "male" "white" 11 7
276 "female" "white" 12 2
277 "female" "white" 10 7
278 "male" "white" 10 5
279 "female" "white" 12 7
280 "male" "white" 10 7
281 "female" "white" 11 2
282 "female" "white" 12 NA
283 "male" "white" 11 6
284 "male" "white" 11 3
285 "female" "white" 10 1
286 "male" "white" 12 1
287 "female" "white" 10 4
288 "female" "white" 12 5
289 "male" "other" 9 6
290 "female" "white" 10 5
291 "male" "other" 10 7
292 "male" "white" 10 5
293 "male" "other" 11 1
294 "female" "white" 12 7
295 "female" "hispanic" 9 7
296 "male" "white" 9 7
297 "male" "white" 10 5
298 "female" "white" 12 7
299 "female" "white" 9 7
300 "female" "white" 10 7
301 "female" "white" 10 7
302 "male" "other" 12 2
303 "male" "white" 10 7
304 "male" "white" 10 NA
305 "female" "white" 9 4
306 "male" "white" 12 7
307 "female" "white" 10 2
308 "male" "white" 11 2
309 "male" "white" 9 10
310 "male" "white" 12 5
311 "female" "other" 10 6
312 "female" "white" 9 NA
313 "male" "other" 9 8
314 "male" "white" 9 5
315 "male" "white" 10 6
316 "male" "white" 12 3
317 "male" "white" 12 8
318 "male" "white" 12 4
319 "male" "white" 9 5
320 "female" "white" 10 NA
321 "female" "white" 9 1
322 "male" "white" 12 5
323 "male" "white" 9 NA
324 "female" "white" 12 3
325 "female" "white" 10 5
326 "female" "white" 10 8
327 "male" "white" 9 1
328 "male" "white" 9 7
329 "female" "white" 11 6
330 "female" "white" 10 5
331 "male" "white" 12 5
332 "female" "other" 11 7
333 "male" "other" 9 NA
334 "male" "white" 11 6
335 "male" "white" 12 6
336 "male" "white" 12 4
337 "male" "white" 9 8
338 "male" "white" 10 6
339 "male" "white" 11 6
340 "female" "white" 12 NA
341 "female" "other" 9 6
342 "male" "white" 9 9
343 "female" "white" 10 7
344 "male" "white" 12 NA
345 "male" "white" 10 7
346 "female" "white" 10 7
347 "female" "white" 10 4
348 "female" "white" 9 5
349 "male" "white" 10 7
350 "female" "white" 10 3
351 "female" "white" 11 7
352 "male" "white" 11 6
353 "male" "white" 9 8
354 "female" "white" 12 8
355 "male" "white" 10 7
356 "male" "white" 9 8
357 "male" "white" 10 9
358 "female" "white" 10 6
359 "female" "white" 10 1
360 "male" "white" 9 10
361 "female" "white" 12 5
362 "female" "white" 11 1
363 "male" "white" 12 6
364 "female" "white" 10 6
365 "male" "white" 11 NA
366 "male" "white" 11 5
367 "male" "other" 9 6
368 "female" "white" 12 4
369 "female" "white" 9 6
370 "female" "white" 10 5
371 "female" "white" 9 4
372 "female" "white" 11 5
373 "male" "white" 12 4
374 "male" "white" 9 7
375 "female" "white" 11 5
376 "male" "white" 9 6
377 "male" "white" 9 9
378 "male" "white" 12 9
379 "female" "white" 11 4
380 "female" "white" 11 5
381 "female" "white" 11 7
382 "female" "white" 12 2
383 "male" "white" 12 4
384 "female" "white" 10 10
385 "female" "white" 12 5
386 "female" "white" 10 3
387 "male" "white" 11 7
388 "male" "white" 9 1
389 "male" "white" 10 7
390 "female" "white" 10 3
391 "male" "other" 9 7
392 "female" "white" 11 6
393 "female" "white" 9 5
394 "male" "white" 9 4
395 "male" "white" 9 2
396 "female" "white" 11 6
397 "male" "white" 11 NA
398 "female" "other" 10 9
399 "male" "white" 10 NA
400 "male" "white" 10 8
401 "female" "white" 9 5
402 "male" "white" 10 NA
403 "female" "white" 10 NA
404 "male" "other" 11 NA
405 "male" "white" 11 8
406 "female" "white" 9 NA
407 "female" "white" 10 2
408 "female" "white" 12 1
409 "male" "white" 11 7
410 "male" "white" 9 7
411 "male" "white" 11 8
412 "female" "white" 11 5
413 "male" "white" 12 3
414 "male" "white" 11 NA
415 "female" "white" 11 10
416 "female" "white" 10 NA
417 "male" "white" 11 NA
418 "female" "white" 10 5
419 "male" "white" 9 7
420 "female" "white" 10 4
421 "male" "other" 11 4
422 "male" "white" 10 6
423 "female" "white" 10 5
424 "male" "white" 10 NA
425 "female" "white" 9 6
426 "female" "white" 9 3
427 "female" "white" 9 4
428 "male" "white" 9 7
429 "female" "white" 11 8
430 "female" "hispanic" 12 7
431 "female" "white" 11 6
432 "female" "white" 12 3
433 "female" "white" 9 5
434 "male" "white" 12 4
435 "female" "white" 12 4
436 "female" "white" 10 5
437 "female" "hispanic" 12 NA
438 "male" "white" 11 7
439 "female" "white" 11 4
440 "male" "white" 10 6
441 "male" "white" 9 5
442 "female" "white" 11 5
443 "female" "white" 12 2
444 "female" "white" 10 6
445 "female" "white" 11 1
446 "female" "white" 12 4
447 "male" "white" 12 4
448 "male" "white" 9 8
449 "female" "white" 12 6
450 "male" "white" 11 2
451 "female" "hispanic" 12 6
452 "male" "white" 11 4
453 "female" "white" 9 1
454 "male" "white" 10 6
455 "male" "white" 9 7
456 "female" "white" 12 1
457 "female" "white" 12 5
458 "female" "white" 9 4
459 "female" "white" 11 6
460 "female" "white" 9 3
461 "female" "hispanic" 10 7
462 "male" "white" 12 4
463 "male" "white" 10 NA
464 "female" "white" 10 6
465 "female" "white" 11 3
466 "male" "white" 12 7
467 "male" "white" 12 8
468 "male" "white" 10 6
469 "male" "hispanic" 11 8
470 "male" "white" 9 1
471 "female" "white" 9 1
472 "male" "white" 11 NA
473 "female" "white" 12 5
474 "female" "white" 10 1
475 "female" "white" 9 5
476 "male" "other" 11 9
477 "male" "white" 11 6
478 "male" "white" 11 NA
479 "female" "white" 12 1
480 "male" "white" 9 8
481 "female" "other" 10 6
482 "female" "white" 10 7
483 "female" "white" 11 9
484 "female" "white" 9 2
485 "female" "white" 12 6
486 "male" "white" 10 6
487 "male" "white" 12 7
488 "male" "white" 10 5
489 "female" "white" 12 6
490 "female" "white" 10 7
491 "female" "white" 11 3
492 "male" "white" 12 8
493 "female" "white" 12 NA
494 "male" "white" 12 5
495 "female" "white" 9 7
496 "female" "white" 10 1
497 "male" "white" 11 5
498 "female" "other" 10 6
499 "female" "white" 9 4
500 "male" "white" 11 NA
501 "female" "white" 9 7
502 "female" "white" 11 6
503 "female" "other" 10 5
504 "female" "white" 10 7
505 "female" "white" 11 8
506 "female" "white" 11 4
507 "male" "hispanic" 11 6
508 "female" "other" 12 4
509 "female" "white" 11 NA
510 "male" "hispanic" 12 6
511 "female" "white" 10 4
512 "female" "white" 9 6
513 "female" "white" 10 8
514 "male" "white" 10 7
515 "male" "white" 9 NA
516 "male" "white" 10 NA
517 "female" "white" 9 7
518 "female" "white" 10 3
519 "female" "white" 10 5
520 "female" "white" 12 5
521 "female" "white" 10 4
522 "female" "white" 12 2
523 "male" "white" 9 8
524 "female" "white" 10 NA
525 "male" "white" 10 8
526 "female" "other" 10 3
527 "male" "white" 9 6
528 "male" "hispanic" 12 7
529 "female" "white" 9 3
530 "female" "white" 12 8
531 "male" "white" 12 6
532 "female" "white" 12 1
533 "female" "white" 10 8
534 "male" "white" 10 NA
535 "female" "white" 9 5
536 "male" "white" 12 NA
537 "male" "white" 12 6
538 "female" "white" 10 6
539 "female" "white" 9 NA
540 "male" "white" 12 NA
541 "female" "white" 11 NA
542 "female" "white" 9 7
543 "female" "white" 11 7
544 "female" "white" 12 4
545 "male" "white" 10 5
546 "male" "white" 11 7
547 "female" "white" 10 6
548 "male" "white" 11 8
549 "male" "other" 11 10
550 "female" "other" 10 1
551 "female" "white" 9 NA
552 "female" "white" 12 8
553 "female" "white" 10 7
554 "male" "white" 11 8
555 "male" "hispanic" 12 4
556 "female" "white" 11 2
557 "male" "white" 10 7
558 "female" "white" 11 3
559 "male" "white" 12 NA
560 "female" "white" 9 5
561 "male" "white" 10 4
562 "male" "white" 11 6
563 "female" "other" 9 5
564 "male" "other" 12 5
565 "male" "white" 11 5
566 "female" "white" 12 4
567 "male" "white" 12 4
568 "female" "white" 11 7
569 "female" "white" 10 4
570 "female" "white" 10 7
571 "male" "white" 12 3
572 "male" "white" 11 5
573 "female" "white" 12 8
574 "male" "white" 12 9
575 "female" "hispanic" 10 5
576 "female" "white" 9 2
577 "male" "white" 11 1
578 "male" "white" 10 NA
579 "male" "white" 12 4
580 "male" "white" 10 6
581 "female" "white" 10 6
582 "male" "white" 11 5
583 "male" "white" 11 5
584 "female" "hispanic" 11 6
585 "female" "white" 9 5
586 "male" "white" 9 6
587 "female" "white" 9 5
588 "male" "white" 11 7
589 "male" "white" 9 NA
590 "male" "white" 11 NA
591 "female" "white" 9 4
592 "female" "white" 11 9
593 "male" "white" 9 6
594 "male" "white" 12 1
595 "male" "hispanic" 11 4
596 "male" "white" 10 5
597 "female" "white" 12 8
598 "female" "white" 12 7
599 "female" "white" 9 6
600 "male" "hispanic" 10 NA
601 "male" "other" 10 6
602 "male" "white" 12 5
603 "male" "white" 12 7
604 "male" "white" 12 1
605 "male" "white" 10 2
606 "female" "white" 10 6
607 "male" "white" 10 NA
608 "female" "white" 9 NA
609 "male" "white" 11 1
610 "male" "white" 9 NA
611 "male" "white" 9 8
612 "male" "white" 11 1
613 "female" "white" 10 8
614 "male" "other" 12 NA
615 "female" "white" 10 NA
616 "female" "white" 10 7
617 "male" "white" 9 6
618 "male" "white" 12 7
619 "male" "white" 12 5
620 "female" "white" 11 5
621 "male" "white" 9 NA
622 "male" "white" 11 NA
623 "female" "white" 10 4
624 "female" "white" 12 3
625 "male" "white" 10 6
626 "male" "white" 11 NA
627 "female" "white" 10 8
628 "male" "white" 11 3
629 "female" "white" 9 NA
630 "female" "white" 12 5
631 "male" "white" 11 9
632 "female" "white" 10 7
633 "female" "white" 9 4
634 "female" "white" 12 NA
635 "male" "white" 10 8
636 "female" "white" 10 3
637 "female" "white" 12 3
638 "male" "hispanic" 10 NA
639 "male" "white" 12 4
640 "female" "white" 10 NA
641 "female" "white" 10 7
642 "female" "white" 10 7
643 "male" "white" 12 4
644 "male" "white" 10 8
645 "female" "white" 9 5
646 "female" "white" 11 4
647 "female" "white" 12 3
648 "female" "white" 9 5
649 "male" "white" 11 5
650 "male" "white" 11 5
651 "male" "white" 11 NA
652 "male" "white" 11 6
653 "female" "white" 10 NA
654 "female" "white" 10 NA
655 "female" "white" 12 2
656 "female" "white" 10 5
657 "male" "white" 9 8
658 "male" "white" 11 6
