obs,text
29965,"The study_explores the personal networks of minority_and_female hi-tech entrepreneurs. In-depth interviews were used to determine how race_and_gender_influence_the_level of constraints_and_opportunities that may be found in a business owner's network of contacts and; therefore, the business owner's ability_to_acquire the resources necessary for successful_business operation. However, instead of viewing the network_structure as fixed, or determined, by the characteristics of the individual, conducting interviews_allowed for the uncovering of how minority and/or female business_owners actively influence_the_nature of their network through strategic interactions which enabled many of them to maneuver around instances of resistance or discrimination and acquire the necessary business resources."
38056,"Parent involvement (PI) in education is associated with positive_outcomes for students, and improving parent_involvement is often advocated_as_a_means for schools to increase student achievement. Little is known about how parents_decide to be involved in their child's education; however, a few models have recently been proposed that hypothesize what variables are most influential in parents' involvement decisions. This study_examined four variables (parents' role construction, sense of efficacy, resources, and specific invitations for involvement) and their relationship to three types of PI (i.e., parent_involvement at school-events, parent_involvement at school-ongoing activities, and parent_involvement at home). Two hypotheses were tested. First, parents' role construction and sense_of_efficacy were hypothesized_to_be_differentially_related to their involvement behaviors. Second, parents' resources and specific teacher invitations were hypothesized to operate as mediators between parents' beliefs (i.e., role construction and sense of efficacy) and their involvement behaviors. English- and Spanish-speaking parents_of_elementary_students from a large, urban_district were surveyed and results_were_analyzed using path analysis. Results indicated that parents' role_beliefs and specific invitations from teachers had significant_direct_effect on parents' involvement behaviors, with specific invitations having the largest effect. Parents' sense_of_efficacy and resources had limited effects, and limited_support_for_the_mediational_hypothesis was found. The importance of measuring PI as a multidimensional_construct was also supported. Results lend_partial_support to the Hoover-Dempsey and Sandler model, and have important_implications_for_teacher and school practices, policy_development_and_future research."
28799,"This study looks at style_of_management and whether it affects employees seeking help for personal problems. The hypothesis was that supervisors who use a highly affective, highly supportive style_of_management facilitate_communication_and_interpersonal_skills among their employees more than supervisors who use a low supportive, low effective style of management. Findings of the study were as follows. There were no statistically_significant_differences between three of the four manager's style of management. The fourth manager did have a different management_style but no statistically_significant data was found that would support_the_theory that a manager's style_of_management might affect whether employees seek help for personal problems. This study does show that companies need to be aware of the high_number_of_employees having personal_problems that affect their job performance. The employees expressed_a_desire to talk with their supervisor regardless of his/her management style. (Abstract shortened with permission of author.)"
30072,"The purpose_of_this_investigation_was_to_examine parents' perceptions concerning their involvement in school-based science_learning_programs for families. Parents representing_twelve families who had attended Family Science learning_programs at one central_Texas_elementary_school during the 1997-98 school_year acted as participant informants for this qualitative study. Family Science programs were held during the evening_hours in the school_cafeteria and were designed to engage the participants in active, investigatory science activities. Four research_questions_guided_the_inquiry process: (a) What were parents' expectations of the program? (b) What were parents' perceptions concerning the benefits_for_children_and_parents who participated in Family Science learning programs? (c) What were parents' perceptions concerning their role(s) in Family Science cooperative_learning activities? and (d) What school_practices or conditions supported or enhanced parents' positive involvement decisions? Formal and informal_interviews with participants, direct observation, and review_of_program_documents were sources_of_data_for_this_qualitative study. Findings indicate that the parents who participated had constructed a considerable understanding of their own children's preferred_learning styles/strategies prior_to_attending the program, and that these understandings facilitated the parents' cognitive scaffolding of their children as they explored science concepts. Additionally, the majority of parents reported that their participation in Family Science learning_programs fostered positive_attitudes in their children toward science and/or school as well as providing_opportunities_for_parents to learn more about their children's interests and abilities. Parents also reported that they learned about the school's science_program and how to involve their children in science_learning_activities outside of school. School-based science_learning_programs for families represent ""promising practice"" for promoting parental involvement in science_education by enhancing awareness of exemplary_science_education practices, connecting home and school experiences, and promoting positive_attitudes toward science. Overall, the study suggests that those who wish to increase parental_support for and involvement in children's science_education must focus at least partially on the parent's perspective."
11604,"Identifying human_society and the natural_environment as separate systems is the most fundamental_challenge facing wildlife conservation. Human society cannot conserve wildlife without understanding the relationship between natural and social processes, and then applying that understanding in the policy arena. This dissertation_focuses on assessing the role of households as a nexus in coupled human and natural systems (CHANS). Under this goal I address 4 objectives: (1) evaluate_the_relationship between global wildlife endangerment and household density in biodiversity_hotspot nations, (2) explore how households mediate_the_relationship_between_social_and_natural_systems using the outdoor_recreation and environmental view relationship, (3) identify socio-demographic variables explaining variation in household_location_decisions with direct impacts on natural systems and wildlife_conservation and consider potential feedbacks in the model of environmental behavior, and (4) use a systems_modeling_approach_to_predict land_use_change in Teton Valley (Idaho and Wyoming) by integrating immigration, home construction, household_location decisions, and different policy scenarios. I use linear_multiple_regression models to demonstrate that household density provides a viable_alternative statistical_hypothesis to human_population_density for explaining species_endangerment at the global_level (household model, r 2 = 0.85; population model, r 2 = 0.84). I then suggest adopting a household perspective for biodiversity_conservation because social_norms_and_practices render a household approach_to_conservation more pragmatic than a human_population perspective. I addressed the final objectives using data_from_a_survey of Teton Valley residents. Results suggested environmentally oriented views relate positively to appreciative outdoor_recreation_participation and negatively to non-appreciative outdoor_recreation_participation for participants and their non-participating household members. Older and highly educated immigrants with the most environmentally oriented worldviews chose_to_live in natural areas (e.g., riparian zones, wetlands, critical winter_range for wildlife) in disproportionately_high numbers, and required significantly more homes per person than other groups. Length of residency was negatively_related to more environmentally oriented worldviews. Simulation results from the systems model suggest cluster development was the most important strategy for protecting open space. Growth slowing restrictions, or lack thereof, were the most important policies for regulating home construction. Finally composite rankings favored high_levels of cluster development and not implementing growth slowing restrictions or a vacation home ban. This simulation_model may also be a simple_and_intuitive tool for other regions where conservation_goals appear to clash with the economic well being of people. Aside from establishing the importance of household dynamics for wildlife conservation, this research_helps establish a new interdisciplinary_approach for CHANS research that focuses on homes as expressions of environmental views and behavior. The methods may be applied in many other areas where communities struggle to meet the needs of wildlife_and_humans in CHANS."
3482,"The sources of housing_satisfaction for formerly homeless_families were investigated in a group of 40 Black_and_Hispanic_women who had been rehoused through their stay in the New York_City_shelter system. Housing satisfaction was examined for this population because the constraints_imposed on housing_options for such families by the rehousing polices of New York City, and the macro-level social_and_economic_conditions shaped by their race, gender, and poverty, might hinder their opportunities for obtaining satisfaction with their housing. Respondents_were_interviewed_in_their_homes using a structured, open- and closed-ended interview which assessed a variety_of_potential housing_satisfaction factors such as pre-rehousing history, quality_and_satisfaction_ratings for the apartment, building, neighborhood and housing, perceived housing_alternatives and social connections. Housing satisfaction, as well as the other satisfaction and quality variables, was measured by a respondent's rating on a 5-point Likert scale. The research_investigated the following: (1) if the length_of_time rehoused was significantly_related to housing satisfaction; (2) if apartment quality, as compared to building_and_neighborhood quality, would have the highest_correlation with housing satisfaction; and (3) the primary reasons for the housing_satisfaction ratings. The quantitative_and_qualitative_data_analyses_revealed the following: (1) housing_tenure was not statistically related to housing satisfaction; (2) apartment quality, when compared to building_and_neighborhood quality, did not have the greatest_impact on housing satisfaction; and (3) analyses of the reasons for the housing_satisfaction rating revealed a meta-theme of qualifying the responses with a "" ... but ... "" clause which deflates the predominately positive ratings of the apartment and building quality_and_satisfaction scales. In addition, three dominant_themes_arose from the analyses of these responses: safety in the neighborhood; maintenance of the apartment and/or building; and interpersonal_relations with family, friends, neighbors and building staff. The implications_of_these_findings for policies concerning the rehousing of formerly homeless_families and low-income housing are discussed, in addition to concerns about the possible limitations of the construct of ""housing satisfaction"" for such populations."
16747,"This dissertation_is_an_ethnography of a culture practiced by the people of Riverfront in Central Wisconsin, based on my fieldwork from October 1984 to February 1987. ""Riverfront"" is a fictitious_name_for_a_real place. The central_problem in this dissertation is to understand how Riverfront people create, maintain, and recreate social_relationships with others. This problem is reflection of my concern about my own culture's ways. Japanese_people place a priority on relations that exist between persons, a practice called inter-personalism. It is my thesis that even such presumably individualistic societies as the United_States would have similar cultural operations as inter-personalism. Care, and sharing, are widely used terms in the United States; they are closest to my understanding of inter-personalism. Following ethnographic interest in the broader_range of everyday life, I explore how widely the meanings of caring and sharing are extended to different domains in Riverfront life. In addition to common ethnographic methods, I used the following method: I brought_back videotapes to a day-care center and a senior center where I had recorded them and showed them to people there. Then I showed them videotapes of my culture in which I had recorded similar situations. People talked about the social interactions they saw on the video screens as well as their ideas about social interaction. That is, their talk included their interpretations about caring and sharing as well as about social_interaction and social relationships, and I analyzed these interpretations. This dissertation first deals with how informants identify themselves and others in historical_and_geographical contexts. It proceeds to interpreting social interactions in various situations. Then it analyses the concepts and behaviors of caring and sharing and the meanings of family and community. Finally I discuss how my study_contributes to the idea of connectedness between individuals as countervailing the forces of separation which are inherent in the nature of individualism. The practices and meanings of caring and sharing described in this dissertation suggest that American concepts of human_connectedness exist in different forms and that it has been shaped differently from Japanese culture."
17100,"Modern medical_care is a collaborative activity among health_care_providers who work in complex, interconnected and dynamic organizations. To design effective_and_efficient work processes and organizations, health-care administrators must be able to understand and analyze the complex relationships among work processes, organizational structure, organizational participants, and the unexpected_events of medical care. Ideally, before subjecting their organizations to change, health-care administrators could simulate how well a proposed organization would perform in discharging a given set of protocols for its patient population. Simulation systems such as the Virtual_Design_Team (VDT) have been shown to make_accurate_predictions about the effectiveness and efficiency of alternative engineering project organizations. Unfortunately, these simulation tools, based on Galbraith's information-processing perspective, have models of work processes and organizations that are too rigid to represent and reason about the correspondingly more dynamic organizational structures, found in medical organizations. My work_extends the information-processing theory of organizations, described by Galbraith and encoded in ""emulation"" simulation systems such as VDT so that these simulation systems can be used to model the non-routine, ""diagnose and repair"" work processes and the flexible_organizational assignments that are required for delivering medical care. My research develops a theoretical_framework and simulation_system in which organizational questions about these more flexible organizations can be posed, tested in a simulation environment, and used to guide medical administrators charged with designing new organizations and protocols. I have extended Galbraith's notion of exceptions by creating four new exception types: activity addition, activity deletion, activity re-assignment, and activity substitution. These process exceptions can model activities in which agent-activity responsibilities are dynamic and activity exceptions alter_the_topology of the work process. I have tested these extensions to theory in an information-processing simulation_system_called OCCAM and modeled diagnostic_and_therapeutic exception-driven medical work processes. This research: (1) adds to current_understanding of how exceptions are modeled in the information-processing theory of organizations; (2) extends the range of organizations that can be modeled and simulated using an information-processing theory of organizations; and (3) provides useful tools to designers of medical organizations and work processes."
35013,"Problem. Divorce rates in the United_States are high. Extensive research reports the negative_effects on the children involved. These effects may be depression and/or engagement in high-risk behaviors such as unprotected sex, substance abuse, cigarette smoking, and truancy. The most grave manifestation of these negative_effects may be the increasing incidence_of_child_and_adolescent suicide. The child or adolescent's typical coping_style may contribute to such maladaptive_responses to the divorce. Purpose. To examine the associations between an adolescent's coping_style and depression, engagement in high-risk behaviors, and suicidality. Design. A non-experimental, cross-sectional research design; data collected at one point in time. Sample. Eighty adolescents 14-17 years of age, whose parents had divorced within the previous one to four years. Forty_subjects had not been hospitalized for psychiatric_treatment since the divorce; forty subjects had been hospitalized for psychiatric treatment. Method. Coping style_was_assessed using the Kidcope; depression_was_assessed using the Reynolds_Adolescent_Depression_Scale (RADS); engagement in high-risk behaviors and suicidality were both determined by completion of the Youth_Risk_Behavior_Survey (YRBS). Sociodemographic data was collected. Results. A strong_association_was_found between a negative/avoidant coping_style and depression, truancy, and suicidality. Negative copers were 20 times as likely as positive/approach copers to be depressed, over three times as likely to have been truant, five times as likely to have had suicidal ideation, and over four times as likely to have made at least one suicide attempt since the divorce. Depression was significantly associated with the high-risk behaviors, and a strong_association_was_found_between_depression and suicidality. These relationships were most significant among the hospitalized adolescents, who were also more likely to have family_members who had attempted and/or committed suicide, and to have friends who had been hospitalized for treatment of depression. They were also more likely to report physical_abuse between their parents. Conclusions. This study reinforces the need for further research directed towards developing interventions which would facilitate adolescents' employment of adaptive_coping strategies."
17583,"Adolescent substance use remains_a_major_health_and_safety problem. A multitude of prevention_approaches has been employed to reduce_the_impact and incidence of substance use among youth. Considerable progress_has_been_made_over_the_past_thirty_years in identifying effective prevention approaches. The dilemma for administrators and policy_planners is to determine what types of adolescent_drug use prevention_programs to implement, given the contingent_nature of evidence regarding program effectiveness. While research on the distinctions between drug_prevention_programs is abundant, most of the prevention_programs have been developed_and_tested in school settings. Research has also been conducted with community settings, but there is comparatively little evidence on the consequences of intervention-differing attributes for community program outcomes. This study_analyzes community-based prevention research_findings from a variety of studies and integrates those results into a meta-analysis in order_to_identify_critical ingredients of effective programming. It focuses on two basic questions: (a) Does the evidence indicate that community-based intervention programs are capable of preventing, delaying, or reducing drug use by adolescents? If so, (b) is the variation in effectiveness related to the characteristics and settings of the intervention programs? Overall, the findings_provide_evidence_of_a_modest benefit of program participation for the average youth. The findings_show that 'comprehensive' and 'school-community' programs are more effective than 'community only' programs in influencing youth_drug use. These three community-based program categories are then compared to school-based program evaluations. The results_suggest that intervention characteristics, such as program focus and setting, influence program performance as measured_in_terms of drug use outcomes. The programs with a broader_focus delivered in multiple settings ('comprehensive' and 'school-community') appear to outperform narrower-focused programs delivered in a single setting ('community only' and 'school only') on major drug use outcomes."
43763,"Ecosystem management has evolved as a new approach to biodiversity conservation. Before implementing ecosystem management, organizations_and_agencies must first learn about and adopt the various elements of ecosystem management. This study looks at one group of organizations that is attempting_to_implement ecosystem management, Chicago Wilderness, and examines which factors promote adoption_of_ecosystem_management components. Components of ecosystem_management include collaboration, systems thinking, regional perspectives, adaptive management, and restoration_of_ecosystem processes. Chicago Wilderness is a group of more than 150 agencies_and_organizations working collaboratively to conserve biodiversity in the metropolitan_Chicago region. Through a mailed survey, data were collected from 299 respondents, representing 84% of the member organizations of Chicago Wilderness. Questions probed attitudes_and_beliefs about ecosystem_management as well as how the respondent and their organizations_participated in Chicago Wilderness activities. Information about individual_and_organizational traits was also collected. Results illustrate that participation_in_collaborative activities, even at a passive level, led_to_the_adoption of ecosystem management. As shown from regression modeling, passive involvement in Chicago Wilderness activities, in other words reading_materials and informally discussing issues, is a primary_predictor of adoption of ecosystem management, more so than other levels of involvement. Additionally, individual_and_organizational traits, including personal_feelings towards conservation, perceived_attitudes of the organizational leadership, and the organization's mission affect_the_extent to which ecosystem_management is adopted. The more personally responsible the respondent felt to find_solutions to conservation challenges the more likely he/she was to adopt the various components of ecosystem management. Perceptions of leadership_support (more than actual_leadership support) also determined the extent to which one participated in Chicago Wilderness and adopted ecosystem management. Exploratory in nature, this study spawns many questions for additional research, such as where does organizational_learning occur, as well as a number_of_recommendations for Chicago Wilderness and similar collaborative endeavors, such as allow time for informal networking. This study_begins to undercover some factors that may lead to organizational_learning and change, but as these are complex processes much more work_is_needed in this area."
