"ids"	"type"	"missing96"	"missing97"	"race"	"gender"	"grade96"	"grade97"	"club_type_detailed"	"club_profile"	"club_feeder"	"club_type_gender"	"club_type_grade"
"114189"	"student"	0	0	"white"	"male"	8	9	NA	NA	NA	NA	NA
"114227"	"student"	0	0	"white"	"male"	8	9	NA	NA	NA	NA	NA
"114233"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"114235"	"student"	1	0	"black"	"male"	7	8	NA	NA	NA	NA	NA
"114239"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"114240"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"114242"	"student"	1	0	"white"	"female"	7	8	NA	NA	NA	NA	NA
"114248"	"student"	1	0	"white"	"female"	7	8	NA	NA	NA	NA	NA
"114493"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"114671"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"114679"	"student"	0	0	"Asian"	"male"	11	12	NA	NA	NA	NA	NA
"114684"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"114746"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"114841"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"114843"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"114844"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"114849"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"114850"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"114875"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"114885"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"114920"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"114934"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"114945"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"114977"	"student"	0	0	"Asian"	"female"	11	12	NA	NA	NA	NA	NA
"114988"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"114992"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"115075"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"115094"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"115101"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"115166"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"115180"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"115182"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"115212"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"115229"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"115383"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"115433"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"115460"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"115477"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"115782"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"115805"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"115830"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"115841"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"115909"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"116231"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"116686"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"116724"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"116749"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"116862"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"117378"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"117447"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"117464"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"117492"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"117506"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"117509"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"117511"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"117524"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"117526"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"117543"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"117622"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"117666"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"117690"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"117723"	"student"	1	1	"white"	"male"	6	7	NA	NA	NA	NA	NA
"117808"	"student"	0	0	"Asian"	"male"	11	12	NA	NA	NA	NA	NA
"117828"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"117878"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"117958"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"117977"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"118430"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"118466"	"student"	0	0	"Asian"	"male"	9	10	NA	NA	NA	NA	NA
"118473"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"118483"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"118537"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"118543"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"118608"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"118615"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"118626"	"student"	0	0	"Asian"	"male"	10	11	NA	NA	NA	NA	NA
"118671"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"118680"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"118699"	"student"	0	0	"Asian"	"female"	11	12	NA	NA	NA	NA	NA
"118871"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"118872"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"118944"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"118968"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"119263"	"student"	0	0	"Hispanic"	"male"	11	12	NA	NA	NA	NA	NA
"119284"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"119301"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"119324"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"119336"	"student"	0	0	"Asian"	"female"	10	11	NA	NA	NA	NA	NA
"119342"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"119361"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"119371"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"119447"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"119516"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"119687"	"student"	0	0	"white"	"male"	8	9	NA	NA	NA	NA	NA
"119744"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"119745"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"120202"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"120236"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"120664"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"120729"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"120849"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"120854"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"120864"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"120888"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"120927"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"120942"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"120961"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"121314"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"121331"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"121353"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"121373"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"121375"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"121385"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"121388"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"121389"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"121396"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"121399"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"121402"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"121406"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"121455"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"121456"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"121461"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"121470"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"121482"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"121485"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"121829"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"121852"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"121856"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"121857"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"121864"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122568"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122615"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122616"	"student"	0	0	"Asian"	"male"	11	12	NA	NA	NA	NA	NA
"122617"	"student"	0	0	"Asian"	"male"	11	12	NA	NA	NA	NA	NA
"122618"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122619"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122620"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122621"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122622"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122624"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122625"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122626"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122627"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122628"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122630"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122631"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122632"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"122634"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122635"	"student"	0	0	"Asian"	"female"	11	12	NA	NA	NA	NA	NA
"122637"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122638"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122639"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122640"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122641"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"122642"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122644"	"student"	0	0	"white"	"female"	11	12	NA	NA	NA	NA	NA
"122652"	"student"	0	0	"Asian"	"male"	10	11	NA	NA	NA	NA	NA
"122656"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122658"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122659"	"student"	0	0	"Hispanic"	"female"	10	11	NA	NA	NA	NA	NA
"122660"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122661"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122662"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122663"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122664"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122665"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122666"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"122667"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122668"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122669"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"122670"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122671"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122672"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122673"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122675"	"student"	0	0	"Asian"	"female"	10	11	NA	NA	NA	NA	NA
"122676"	"student"	0	0	"Asian"	"female"	10	11	NA	NA	NA	NA	NA
"122677"	"student"	0	0	"Asian"	"female"	10	11	NA	NA	NA	NA	NA
"122680"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122682"	"student"	0	0	"Asian"	"male"	10	11	NA	NA	NA	NA	NA
"122683"	"student"	0	0	"Asian"	"female"	10	11	NA	NA	NA	NA	NA
"122684"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122685"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122687"	"student"	0	0	"Native American"	"female"	10	11	NA	NA	NA	NA	NA
"122688"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122689"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"122691"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122692"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122698"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"122703"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122706"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"122707"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122708"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122709"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122710"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122711"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122712"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122713"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122714"	"student"	0	0	"Hispanic"	"male"	9	10	NA	NA	NA	NA	NA
"122715"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122716"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122717"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122718"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122719"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"122721"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122722"	"student"	0	0	"Hispanic"	"male"	9	10	NA	NA	NA	NA	NA
"122723"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122724"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122726"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122727"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122728"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122729"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122730"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122731"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122732"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"122733"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"122734"	"student"	0	0	"Hispanic"	"male"	9	10	NA	NA	NA	NA	NA
"122735"	"student"	0	0	"Hispanic"	"female"	9	10	NA	NA	NA	NA	NA
"122736"	"student"	0	0	"Hispanic"	"male"	9	10	NA	NA	NA	NA	NA
"122738"	"student"	0	0	"Asian"	"male"	9	10	NA	NA	NA	NA	NA
"122739"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"122740"	"student"	0	0	"Hispanic"	"male"	9	10	NA	NA	NA	NA	NA
"122744"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"122745"	"student"	0	0	"white"	"male"	8	9	NA	NA	NA	NA	NA
"122746"	"student"	0	0	"white"	"male"	8	9	NA	NA	NA	NA	NA
"122747"	"student"	0	0	"black"	"male"	8	9	NA	NA	NA	NA	NA
"122748"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"122749"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"123938"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"124451"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"124860"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"125457"	"student"	0	0	"black"	"male"	11	12	NA	NA	NA	NA	NA
"125522"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"125546"	"student"	1	0	"Hispanic"	"female"	7	8	NA	NA	NA	NA	NA
"125567"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"125599"	"student"	1	1	"white"	"male"	6	7	NA	NA	NA	NA	NA
"125605"	"student"	1	1	"white"	"female"	6	7	NA	NA	NA	NA	NA
"125607"	"student"	1	1	"white"	"female"	6	7	NA	NA	NA	NA	NA
"125609"	"student"	1	1	"black"	"male"	6	7	NA	NA	NA	NA	NA
"125680"	"student"	1	0	"white"	"female"	7	8	NA	NA	NA	NA	NA
"126046"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"126062"	"student"	0	0	"white"	"male"	9	10	NA	NA	NA	NA	NA
"126066"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"126075"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"126101"	"student"	0	0	"Hispanic"	"female"	9	10	NA	NA	NA	NA	NA
"126104"	"student"	0	0	"Asian"	"male"	9	10	NA	NA	NA	NA	NA
"126209"	"student"	1	0	"white"	"female"	7	8	NA	NA	NA	NA	NA
"126212"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"126255"	"student"	0	0	"black"	"female"	10	11	NA	NA	NA	NA	NA
"126259"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"126264"	"student"	0	0	"Asian"	"male"	10	11	NA	NA	NA	NA	NA
"126274"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"126281"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"126330"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"126353"	"student"	0	0	"black"	"male"	10	11	NA	NA	NA	NA	NA
"126359"	"student"	0	0	"white"	"female"	9	10	NA	NA	NA	NA	NA
"126360"	"student"	0	0	"black"	"male"	9	10	NA	NA	NA	NA	NA
"126368"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"126380"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"126412"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"126451"	"student"	0	0	"white"	"male"	8	9	NA	NA	NA	NA	NA
"126455"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"126488"	"student"	0	0	"white"	"female"	8	9	NA	NA	NA	NA	NA
"126495"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"126508"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"126512"	"student"	1	0	"white"	"male"	7	8	NA	NA	NA	NA	NA
"126542"	"student"	1	0	"white"	"female"	7	8	NA	NA	NA	NA	NA
"126572"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"126574"	"student"	0	0	"white"	"female"	10	11	NA	NA	NA	NA	NA
"126576"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"126616"	"student"	1	1	"black"	"male"	6	7	NA	NA	NA	NA	NA
"126629"	"student"	1	1	"white"	"female"	6	7	NA	NA	NA	NA	NA
"126640"	"student"	1	1	"Asian"	"female"	6	7	NA	NA	NA	NA	NA
"126648"	"student"	1	1	"white"	"male"	6	7	NA	NA	NA	NA	NA
"126664"	"student"	0	0	"white"	"male"	11	12	NA	NA	NA	NA	NA
"126686"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"126687"	"student"	0	0	"white"	"male"	10	11	NA	NA	NA	NA	NA
"126757"	"student"	1	0	"black"	"female"	7	8	NA	NA	NA	NA	NA
"126761"	"student"	1	0	"Asian"	"male"	7	8	NA	NA	NA	NA	NA
"126774"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"126782"	"student"	0	0	"black"	"female"	11	12	NA	NA	NA	NA	NA
"126783"	"student"	0	0	"black"	"female"	8	9	NA	NA	NA	NA	NA
"126784"	"student"	0	0	"black"	"female"	9	10	NA	NA	NA	NA	NA
"126805"	"student"	1	1	"white"	"female"	6	7	NA	NA	NA	NA	NA
"126809"	"student"	1	1	"white"	"female"	6	7	NA	NA	NA	NA	NA
