"CASEID","AGE","EDUC","RACE","SEX","RELIG","AGE_CATEGORICAL","EDUC_CATEGORICAL","NUMGIVEN","HAPPY","HEALTH","PARTYID","WTSSALL"
19850146,53,10,"white","male","catholic","50s","No HS",3,3,4,6,0.5181
19850147,31,12,"white","female","catholic","30s","HS",2,2,2,3,1.0363
19850148,35,12,"white","female","catholic","30s","HS",1,2,1,1,1.0363
19850149,38,20,"white","male","jewish","30s","Post Graduate",1,2,2,2,1.0363
19850150,NA,12,"white","female","protestant",NA,"HS",0,2,2,0,0.5181
19850151,78,9,"white","male","none","60+","No HS",1,2,4,6,1.0363
19850152,30,16,"white","female","protestant","30s","College",5,1,1,2,1.0363
19850153,60,10,"white","female","catholic","60+","No HS",1,2,3,4,0.5181
19850154,21,13,"white","female","catholic","20s","Some College",2,2,2,2,2.0725
19850155,69,11,"white","female","protestant","60+","No HS",2,1,1,4,1.5544
19850156,35,11,"white","male","catholic","30s","No HS",3,2,3,3,1.0363
19850157,78,8,"white","female","catholic","60+","No HS",0,2,3,1,1.0363
19850158,30,12,"white","male","catholic","30s","HS",3,2,2,2,1.0363
19850159,40,12,"white","male","catholic","40s","HS",2,2,2,5,1.5544
19850160,30,18,"white","female","protestant","30s","Post Graduate",5,1,1,0,1.0363
19850161,59,12,"hispanic","female","protestant","50s","HS",2,2,1,0,0.5181
19850162,57,12,"white","female","catholic","50s","HS",4,1,1,4,1.0363
19850163,32,13,"white","female","none","30s","Some College",4,1,1,3,1.0363
19850164,35,16,"white","female","catholic","30s","College",3,2,1,3,1.0363
19850165,28,18,"white","male","none","20s","Post Graduate",5,2,1,6,0.5181
19850166,68,9,"white","male","catholic","60+","No HS",3,1,1,4,1.0363
19850167,83,2,"white","male","other","60+","No HS",1,3,4,0,0.5181
19850168,54,8,"white","male","none","50s","No HS",0,3,4,3,1.0363
19850169,30,12,"white","female","catholic","30s","HS",5,1,2,6,1.0363
19850170,32,13,"white","male","catholic","30s","Some College",2,3,2,0,0.5181
19850171,66,12,"black","male","protestant","60+","HS",1,2,3,0,1.0363
19850172,59,15,"black","male","protestant","50s","Some College",1,3,2,1,1.0363
19850173,57,13,"black","male","catholic","50s","Some College",5,3,4,0,1.0363
19850174,41,12,"black","male","protestant","40s","HS",1,2,1,1,1.0363
19850175,53,8,"white","male","catholic","50s","No HS",2,2,4,1,1.5544
19850176,29,18,"white","male","protestant","20s","Post Graduate",2,2,2,2,1.0363
19850177,32,14,"white","male","catholic","30s","Some College",3,2,2,5,1.0363
19850178,20,11,"white","female","protestant","20s","No HS",2,2,2,6,1.0363
19850179,25,12,"white","male","other","20s","HS",3,2,1,6,1.0363
19850180,72,12,"white","female","other","60+","HS",5,1,1,4,0.5181
19850181,83,12,"white","female","protestant","60+","HS",4,1,1,6,0.5181
19850182,66,12,"white","female","protestant","60+","HS",3,3,4,3,0.5181
19850183,27,16,"white","female","protestant","20s","College",4,1,1,6,1.0363
19850184,20,10,"white","male","protestant","20s","No HS",4,1,1,3,1.0363
19850185,35,14,"white","male","catholic","30s","Some College",4,2,1,3,1.0363
19850186,47,12,"white","female","none","40s","HS",5,2,1,5,0.5181
19850187,21,12,"white","female","catholic","20s","HS",5,1,1,5,0.5181
19850188,56,9,"white","female","protestant","50s","No HS",2,2,2,5,1.0363
19850189,27,12,"white","female","catholic","20s","HS",3,2,2,5,1.0363
19850190,53,12,"white","male","catholic","50s","HS",1,1,2,2,1.0363
19850191,25,17,"white","male","catholic","20s","Post Graduate",4,1,1,5,1.0363
19850192,46,20,"white","male","protestant","40s","Post Graduate",5,1,1,2,0.5181
19850193,23,12,"white","male","none","20s","HS",4,1,2,4,1.0363
19850194,32,16,"white","male","protestant","30s","College",2,1,1,6,1.0363
19850195,70,8,"white","female","protestant","60+","No HS",2,2,3,3,0.5181
19850196,65,5,"black","female","protestant","60+","No HS",0,1,2,0,0.5181
19850197,38,15,"white","male","catholic","30s","Some College",5,2,1,1,0.5181
19850198,36,20,"white","male","other","30s","Post Graduate",4,1,3,2,1.0363
19850199,39,16,"black","male","catholic","30s","College",5,2,2,2,0.5181
19850200,42,13,"asian","female","protestant","40s","Some College",3,2,1,0,1.5544
19850201,51,12,"asian","male","none","50s","HS",4,1,1,6,0.5181
19850202,42,13,"black","female","jewish","40s","Some College",0,2,2,5,1.5544
19850203,23,12,"black","female","catholic","20s","HS",1,1,2,2,1.5544
19850204,32,12,"black","female","protestant","30s","HS",2,2,2,1,0.5181
19850205,34,14,"black","female","protestant","30s","Some College",1,2,2,0,0.5181
19850206,64,12,"black","female","protestant","60+","HS",1,2,3,0,0.5181
19850207,37,14,"hispanic","female","catholic","30s","Some College",1,1,2,5,1.0363
19850208,26,16,"white","female","none","20s","College",4,2,1,1,1.0363
19850209,35,16,"white","male","none","30s","College",5,2,1,4,2.0725
19850210,38,16,"white","female","catholic","30s","College",5,3,4,0,0.5181
19850211,68,9,"white","female","catholic","60+","No HS",0,2,3,6,0.5181
19850212,36,12,"white","male","protestant","30s","HS",3,2,2,4,2.0725
19850213,46,12,"white","male","protestant","40s","HS",5,2,2,3,1.0363
19850214,37,11,"white","female","none","30s","No HS",5,2,3,1,1.5544
19850215,23,12,"white","male","catholic","20s","HS",2,2,2,4,1.0363
19850216,50,15,"white","female","protestant","50s","Some College",5,2,2,5,1.0363
19850217,25,15,"white","female","protestant","20s","Some College",3,1,1,5,0.5181
19850218,81,15,"white","female","catholic","60+","Some College",5,1,2,6,1.0363
19850219,45,16,"white","female","catholic","40s","College",5,2,2,2,0.5181
19850220,28,13,"white","male","protestant","20s","Some College",3,2,1,5,1.5544
19850221,58,16,"white","male","protestant","50s","College",2,1,2,4,1.5544
19850222,39,16,"white","male","protestant","30s","College",5,2,3,5,1.0363
19850223,35,14,"white","female","none","30s","Some College",2,2,3,3,1.0363
19850224,37,16,"white","male","jewish","30s","College",1,2,1,0,1.0363
19850225,34,16,"white","female","protestant","30s","College",4,2,2,6,1.0363
19850226,78,0,"black","female","protestant","60+","No HS",1,1,2,0,3.1088
19850227,63,20,"black","male","protestant","60+","Post Graduate",6,2,1,0,0.5181
19850228,69,5,"black","male","protestant","60+","No HS",6,1,4,0,1.5544
19850229,38,9,"black","female","protestant","30s","No HS",2,2,2,0,0.5181
19850230,23,10,"black","female","protestant","20s","No HS",5,1,2,0,0.5181
19850231,42,3,"hispanic","female","catholic","40s","No HS",1,3,2,2,1.0363
19850232,22,15,"white","female","none","20s","Some College",5,2,2,5,1.0363
19850233,25,12,"hispanic","male","catholic","20s","HS",0,2,NA,3,1.0363
19850234,30,16,"white","male","none","30s","College",4,1,3,4,0.5181
19850235,20,13,"black","female","protestant","20s","Some College",2,2,2,1,1.0363
19850236,25,15,"hispanic","male","protestant","20s","Some College",3,1,1,5,1.0363
19850237,23,13,"white","male","protestant","20s","Some College",2,1,1,4,0.5181
19850238,26,16,"black","female","protestant","20s","College",5,2,2,2,1.0363
19850239,40,20,"white","male","protestant","40s","Post Graduate",4,2,2,5,0.5181
19850240,79,18,"white","male","protestant","60+","Post Graduate",4,2,2,2,1.0363
19850241,57,17,"white","male","protestant","50s","Post Graduate",5,2,1,2,1.0363
19850242,62,11,"white","female","protestant","60+","No HS",3,2,3,6,1.0363
19850243,49,16,"white","female","protestant","40s","College",6,2,1,4,0.5181
19850244,40,16,"white","female","protestant","40s","College",3,2,1,6,1.0363
19850245,65,12,"white","female","protestant","60+","HS",2,2,2,6,1.0363
19850246,50,15,"white","female","protestant","50s","Some College",4,1,1,5,1.0363
19850247,70,16,"white","female","protestant","60+","College",3,2,4,0,0.5181
19850248,62,11,"white","male","protestant","60+","No HS",4,2,2,2,1.0363
19850249,39,9,"white","male","protestant","30s","No HS",0,1,2,3,1.0363
19850250,21,6,"white","female","protestant","20s","No HS",4,2,3,5,1.0363
19850251,67,13,"white","female","protestant","60+","Some College",4,2,3,0,0.5181
19850252,23,12,"white","female","catholic","20s","HS",2,2,2,5,1.0363
19850253,30,12,"white","female","protestant","30s","HS",3,1,2,6,1.0363
19850254,45,13,"white","male","protestant","40s","Some College",6,2,2,5,2.0725
19850255,33,17,"white","female","protestant","30s","Post Graduate",6,2,2,5,1.0363
19850256,28,14,"white","male","protestant","20s","Some College",5,2,2,6,1.5544
19850257,38,14,"white","male","protestant","30s","Some College",6,1,2,1,1.0363
19850258,37,15,"white","male","none","30s","Some College",3,2,3,3,1.0363
19850259,28,14,"white","female","protestant","20s","Some College",4,2,2,5,1.0363
19850260,28,14,"white","female","protestant","20s","Some College",5,1,1,6,1.0363
19850261,44,16,"white","male","protestant","40s","College",6,3,3,5,0.5181
19850262,37,14,"white","female","jewish","30s","Some College",6,2,1,5,1.0363
19850263,30,12,"white","male","protestant","30s","HS",6,1,1,4,1.0363
19850264,52,12,"white","female","protestant","50s","HS",1,1,1,6,1.0363
19850265,28,16,"white","male","catholic","20s","College",6,2,2,2,0.5181
19850266,34,12,"white","female","protestant","30s","HS",4,3,2,1,1.0363
19850267,37,20,"white","male","protestant","30s","Post Graduate",3,2,2,6,0.5181
19850268,44,12,"white","female","protestant","40s","HS",4,1,2,1,1.5544
19850269,71,11,"white","female","protestant","60+","No HS",1,1,2,2,0.5181
19850270,44,12,"white","female","none","40s","HS",3,1,2,5,1.0363
19850271,71,11,"white","female","catholic","60+","No HS",5,1,4,6,1.0363
19850272,38,16,"white","female","catholic","30s","College",2,2,1,0,1.0363
19850273,66,15,"white","female","catholic","60+","Some College",5,1,2,5,1.0363
19850274,54,15,"white","male","protestant","50s","Some College",3,2,3,1,0.5181
19850275,20,13,"white","male","catholic","20s","Some College",3,2,1,2,1.0363
19850276,32,18,"white","male","protestant","30s","Post Graduate",6,1,1,0,1.0363
19850277,32,14,"white","male","catholic","30s","Some College",3,2,2,3,0.5181
19850278,20,13,"white","female","none","20s","Some College",3,2,1,1,0.5181
19850279,37,15,"white","female","catholic","30s","Some College",5,1,1,0,1.0363
19850280,23,17,"white","male","none","20s","Post Graduate",4,1,2,3,1.0363
19850281,72,12,"white","female","protestant","60+","HS",3,2,2,4,0.5181
19850282,71,7,"white","male","catholic","60+","No HS",3,2,1,3,0.5181
19850283,26,13,"white","female","catholic","20s","Some College",5,1,1,3,0.5181
19850284,25,18,"white","male","catholic","20s","Post Graduate",5,1,1,5,1.0363
19850285,73,12,"white","female","protestant","60+","HS",1,1,2,6,1.0363
19850286,27,15,"white","male","catholic","20s","Some College",4,1,2,6,1.0363
19850287,66,8,"white","male","catholic","60+","No HS",0,2,1,1,1.5544
19850288,62,12,"white","female","catholic","60+","HS",1,1,1,1,1.0363
19850289,74,12,"white","female","protestant","60+","HS",0,2,2,5,0.5181
19850290,75,12,"white","female","catholic","60+","HS",0,2,2,4,0.5181
19850291,83,12,"white","male","catholic","60+","HS",1,2,1,0,1.0363
19850292,87,12,"white","female","catholic","60+","HS",0,2,3,3,1.0363
19850293,81,7,"white","female","protestant","60+","No HS",2,1,1,6,0.5181
19850294,65,20,"white","female","catholic","60+","Post Graduate",4,1,2,4,0.5181
19850295,60,20,"white","male","jewish","60+","Post Graduate",3,1,1,5,1.0363
19850296,51,12,"white","male","jewish","50s","HS",3,2,2,5,1.0363
19850297,26,16,"white","female","jewish","20s","College",4,2,2,0,1.5544
19850298,48,14,"white","female","jewish","40s","Some College",4,2,2,5,1.5544
19850299,53,18,"white","male","catholic","50s","Post Graduate",4,3,3,5,2.0725
19850300,60,11,"white","male","catholic","60+","No HS",3,2,2,1,0.5181
19850301,62,9,"black","female","protestant","60+","No HS",6,1,3,4,0.5181
19850302,36,13,"white","female","protestant","30s","Some College",2,2,2,4,1.0363
19850303,73,12,"other","female","none","60+","HS",0,2,3,2,0.5181
19850304,70,8,"white","female","protestant","60+","No HS",2,1,3,3,0.5181
19850305,31,16,"white","male","protestant","30s","College",4,2,2,4,1.0363
19850306,80,8,"white","female","catholic","60+","No HS",1,2,4,2,0.5181
19850307,73,12,"white","male","protestant","60+","HS",NA,1,2,0,1.0363
19850308,55,12,"white","female","catholic","50s","HS",3,2,1,0,1.0363
19850309,63,18,"white","female","protestant","60+","Post Graduate",3,2,1,3,1.0363
19850310,37,20,"white","female","protestant","30s","Post Graduate",4,2,2,2,1.0363
19850311,89,8,"white","male","catholic","60+","No HS",0,2,2,3,0.5181
19850312,55,12,"white","female","catholic","50s","HS",5,1,2,1,1.0363
19850313,32,15,"white","male","protestant","30s","Some College",6,2,1,0,2.5907
19850314,67,12,"white","male","catholic","60+","HS",2,2,3,0,1.0363
19850315,64,15,"white","male","catholic","60+","Some College",1,2,2,0,1.0363
19850316,27,20,"white","female","catholic","20s","Post Graduate",5,3,1,5,0.5181
19850317,71,8,"white","female","protestant","60+","No HS",5,2,1,0,0.5181
19850318,43,13,"white","male","catholic","40s","Some College",3,1,1,1,0.5181
19850319,38,14,"white","female","catholic","30s","Some College",5,3,2,1,0.5181
19850320,65,13,"white","female","catholic","60+","Some College",5,2,3,0,1.0363
19850321,65,13,"white","female","protestant","60+","Some College",6,3,1,2,0.5181
19850322,64,12,"white","male","catholic","60+","HS",6,1,1,0,1.0363
19850323,29,12,"white","female","other","20s","HS",2,2,2,5,1.0363
19850324,50,10,"white","male","catholic","50s","No HS",3,1,3,1,1.5544
19850325,52,9,"white","male","protestant","50s","No HS",3,3,2,0,1.5544
19850326,48,12,"white","female","protestant","40s","HS",3,1,1,1,1.0363
19850327,51,14,"white","male","protestant","50s","Some College",3,2,3,1,2.0725
19850328,33,12,"white","male","protestant","30s","HS",3,2,2,1,1.0363
19850329,60,12,"white","female","catholic","60+","HS",5,3,3,0,1.5544
19850330,69,11,"white","female","protestant","60+","No HS",1,2,3,5,1.0363
19850331,51,12,"black","female","protestant","50s","HS",2,3,3,0,1.5544
19850332,51,8,"black","female","protestant","50s","No HS",1,2,2,0,1.0363
19850333,30,12,"white","female",NA,"30s","HS",3,2,4,5,1.0363
19850334,55,12,"white","female","catholic","50s","HS",5,2,1,1,2.0725
19850335,37,12,"white","male","protestant","30s","HS",6,2,2,3,1.0363
19850336,70,12,"white","male","protestant","60+","HS",2,2,3,6,1.0363
19850337,20,12,"white","female","catholic","20s","HS",4,3,3,1,1.5544
19850338,36,13,"white","female","catholic","30s","Some College",4,2,1,2,0.5181
19850339,32,11,"white","female","protestant","30s","No HS",2,2,4,1,1.0363
19850340,48,10,"white","female","protestant","40s","No HS",1,1,1,0,1.0363
19850341,67,11,"white","male","protestant","60+","No HS",1,2,2,5,1.0363
19850342,36,11,"white","female","protestant","30s","No HS",3,1,1,1,1.0363
19850343,62,14,"white","female","protestant","60+","Some College",5,2,1,2,0.5181
19850344,56,12,"white","female","catholic","50s","HS",4,2,3,0,0.5181
19850345,67,14,"white","female","protestant","60+","Some College",6,1,2,6,1.0363
19850346,40,17,"white","male",NA,"40s","Post Graduate",3,2,1,0,1.5544
19850347,39,16,"white","female","protestant","30s","College",4,1,1,5,1.0363
19850348,65,19,"white","male","protestant","60+","Post Graduate",5,2,2,1,1.0363
19850349,58,17,"white","male","protestant","50s","Post Graduate",1,1,3,6,1.5544
19850350,64,18,"white","male","catholic","60+","Post Graduate",1,2,2,5,1.5544
19850351,87,12,"white","female","catholic","60+","HS",0,1,2,5,0.5181
19850352,48,12,"white","female","catholic","40s","HS",2,1,2,1,1.5544
19850353,43,10,"white","female","catholic","40s","No HS",2,3,2,0,2.0725
19850354,53,12,"white","female","catholic","50s","HS",3,1,1,1,0.5181
19850355,45,12,"white","male","protestant","40s","HS",5,2,2,6,1.0363
19850356,31,12,"white","female","catholic","30s","HS",5,1,1,3,1.0363
19850357,27,15,"white","male","catholic","20s","Some College",2,1,1,6,0.5181
19850358,40,12,"white","female","catholic","40s","HS",5,1,1,4,1.5544
19850359,25,12,"white","male","protestant","20s","HS",5,2,1,0,0.5181
19850360,61,12,"white","female","protestant","60+","HS",1,1,2,6,1.0363
19850361,64,13,"white","male","protestant","60+","Some College",4,2,2,4,1.0363
19850362,71,7,"white","female","protestant","60+","No HS",0,1,2,1,1.0363
19850363,67,14,"white","male","protestant","60+","Some College",6,2,2,6,1.5544
19850364,63,20,"white","male","jewish","60+","Post Graduate",5,1,2,1,2.0725
19850365,72,16,"white","male","protestant","60+","College",4,2,1,0,1.0363
19850366,27,13,"black","male","none","20s","Some College",2,2,2,2,1.0363
19850367,33,12,"black","male",NA,"30s","HS",4,2,2,3,1.5544
19850368,31,6,"black","male","catholic","30s","No HS",5,2,3,1,0.5181
19850369,21,11,"white","female","protestant","20s","No HS",3,3,2,1,1.0363
19850370,67,7,"black","male","protestant","60+","No HS",4,2,2,0,1.0363
19850371,58,12,"white","female","protestant","50s","HS",6,2,2,1,1.0363
19850372,44,14,"white","female","protestant","40s","Some College",4,2,1,0,1.0363
19850373,48,12,"white","male","catholic","40s","HS",2,2,2,4,1.0363
19850374,53,18,"white","male","catholic","50s","Post Graduate",4,2,1,0,1.5544
19850375,56,12,"white","male","protestant","50s","HS",3,2,3,2,1.0363
19850376,57,10,"black","female","protestant","50s","No HS",1,1,3,NA,1.0363
