"ego","alter","friend_tie","social_tie","task_tie"
16,4,0,0.3,0.975
16,5,0,0.375,2.1
16,6,0,0.3,1.05
16,7,0,1.2,2.625
16,8,0,1.275,2.175
16,9,0,0.3,2.625
16,10,0,1.8,5.4
16,11,0,0.3,1.125
16,12,0,1.725,4.875
16,13,0,2.25,4.2
16,14,0,0.975,3.525
16,15,0,1.275,6.075
16,16,0,0,0
