"ids" "location" "degree" "location1" "location2" "location3"
64 "city" 8 "suburbs" "city" "city"
65 "city" 5 "city" "city" "city"
66 "city" 9 "city" "city" "city"
67 "city" 3 "city" "city" "city"
68 "city" 2 "city" "city" NA
69 "city" 6 "city" "city" "city"
70 "city" 2 "suburbs" "city" NA
71 "city" 1 "city" NA NA
72 "city" 3 "city" "city" "city"
73 "city" 4 "city" "city" "city"
74 "city" 6 "suburbs" "city" "suburbs"
75 "city" 4 "city" "city" "city"
76 "city" 3 "city" "city" "city"
77 "city" 9 "city" "city" "suburbs"
78 "city" 2 "city" "suburbs" NA
79 "city" 1 "city" NA NA
80 "city" 3 "city" "city" "city"
81 "city" 6 "suburbs" "city" "city"
82 "city" 2 "city" "city" NA
83 "city" 4 "city" "suburbs" "city"
84 "city" 2 "city" "city" NA
85 "city" 6 "city" "city" "city"
86 "city" 4 "city" "city" "suburbs"
87 "city" 5 "city" "city" "city"
88 "city" 5 "suburbs" "city" "city"
89 "city" 4 "city" "suburbs" "city"
90 "city" 8 "suburbs" "city" "city"
91 "city" 4 "city" "city" "city"
92 "city" 5 "city" "city" "suburbs"
93 "city" 4 "suburbs" "city" "city"
94 "city" 4 "suburbs" "city" "city"
95 "city" 4 "city" "city" "city"
96 "city" 3 "city" "city" "city"
97 "city" 3 "city" "city" "city"
98 "city" 2 "city" "city" NA
99 "city" 2 "suburbs" "city" NA
100 "city" 4 "city" "city" "city"
101 "city" 5 "city" "city" "city"
102 "city" 5 "city" "city" "suburbs"
103 "city" 3 "city" "city" "city"
104 "city" 5 "city" "city" "suburbs"
105 "city" 8 "city" "city" "suburbs"
106 "city" 1 "city" NA NA
107 "city" 2 "suburbs" "city" NA
108 "city" 2 "city" "city" NA
109 "city" 5 "city" "city" "city"
110 "city" 5 "city" "city" "city"
111 "city" 4 "city" "city" "city"
112 "city" 4 "city" "city" "suburbs"
113 "city" 6 "city" "city" "city"
114 "city" 3 "city" "city" "city"
115 "city" 6 "suburbs" "city" "city"
116 "city" 5 "city" "city" "city"
117 "city" 2 "city" "city" NA
118 "city" 6 "city" "city" "city"
119 "city" 1 "city" NA NA
120 "city" 4 "suburbs" "city" "city"
121 "city" 1 "city" NA NA
122 "city" 1 "suburbs" NA NA
123 "city" 3 "city" "city" "suburbs"
124 "city" 5 "suburbs" "city" "city"
125 "city" 8 "city" "city" "city"
126 "city" 3 "city" "city" "city"
127 "city" 3 "city" "city" "suburbs"
128 "city" 5 "city" "suburbs" "city"
129 "city" 4 "city" "city" "city"
130 "city" 5 "suburbs" "suburbs" "city"
131 "city" 2 "city" "city" NA
132 "city" 3 "city" "suburbs" "city"
133 "city" 3 "city" "city" "city"
134 "city" 4 "city" "city" "suburbs"
135 "city" 6 "city" "city" "suburbs"
136 "city" 3 "city" "city" "city"
137 "city" 4 "city" "city" "city"
138 "city" 1 "city" NA NA
139 "city" 4 "city" "city" "city"
140 "city" 6 "city" "city" "suburbs"
141 "city" 3 "city" "city" "city"
142 "city" 4 "city" "city" "city"
143 "city" 4 "city" "city" "suburbs"
144 "city" 6 "city" "city" "city"
145 "city" 2 "city" "city" NA
146 "city" 2 "city" "suburbs" NA
147 "city" 3 "city" "city" "city"
148 "city" 4 "city" "city" "city"
149 "city" 5 "suburbs" "city" "city"
150 "city" 1 "suburbs" NA NA
151 "city" 4 "city" "suburbs" "city"
152 "city" 2 "city" "suburbs" NA
153 "city" 7 "suburbs" "city" "city"
154 "city" 4 "suburbs" "city" "city"
155 "city" 2 "city" "city" NA
156 "city" 6 "city" "suburbs" "city"
157 "city" 5 "city" "city" "city"
158 "city" 4 "city" "city" "suburbs"
159 "city" 4 "city" "suburbs" "city"
160 "city" 7 "city" "city" "city"
161 "city" 4 "city" "city" "city"
162 "city" 3 "city" "suburbs" "city"
163 "city" 1 "city" NA NA
164 "city" 5 "city" "city" "city"
165 "city" 4 "city" "city" "city"
166 "city" 6 "city" "suburbs" "suburbs"
167 "city" 3 "suburbs" "city" "suburbs"
168 "city" 7 "city" "city" "city"
169 "city" 3 "city" "city" "city"
170 "city" 3 "suburbs" "city" "city"
171 "city" 4 "city" "city" "city"
172 "city" 5 "suburbs" "suburbs" "city"
173 "city" 5 "city" "city" "city"
174 "city" 7 "city" "suburbs" "city"
175 "city" 3 "city" "city" "city"
176 "city" 1 "city" NA NA
177 "city" 3 "city" "suburbs" "city"
178 "city" 5 "city" "city" "city"
179 "city" 4 "suburbs" "city" "city"
180 "city" 1 "city" NA NA
181 "city" 3 "suburbs" "city" "city"
182 "city" 4 "suburbs" "city" "city"
183 "city" 5 "city" "city" "city"
184 "city" 3 "city" "suburbs" "city"
185 "city" 3 "suburbs" "city" "city"
186 "city" 3 "city" "city" "suburbs"
187 "city" 5 "city" "city" "suburbs"
188 "city" 4 "city" "city" "suburbs"
189 "city" 2 "city" "suburbs" NA
190 "city" 4 "city" "city" "city"
191 "city" 4 "city" "city" "suburbs"
192 "city" 4 "city" "city" "suburbs"
193 "city" 6 "city" "city" "city"
194 "city" 1 "city" NA NA
195 "city" 4 "city" "suburbs" "city"
196 "city" 5 "city" "suburbs" "suburbs"
197 "city" 1 "city" NA NA
198 "city" 7 "city" "city" "suburbs"
199 "city" 3 "city" "city" "city"
200 "city" 6 "city" "city" "city"
201 "city" 2 "city" "city" NA
202 "city" 6 "suburbs" "suburbs" "city"
203 "city" 5 "city" "city" "suburbs"
204 "city" 6 "city" "city" "city"
205 "city" 5 "city" "city" "suburbs"
206 "city" 3 "suburbs" "city" "city"
207 "city" 5 "city" "city" "suburbs"
208 "city" 5 "city" "city" "city"
209 "city" 5 "suburbs" "suburbs" "city"
210 "city" 6 "suburbs" "city" "city"
211 "city" 3 "suburbs" "city" "city"
212 "city" 3 "city" "suburbs" "suburbs"
213 "city" 4 "city" "city" "suburbs"
214 "city" 6 "city" "suburbs" "city"
215 "city" 2 "city" "city" NA
216 "city" 7 "city" "city" "city"
217 "city" 3 "city" "city" "suburbs"
218 "city" 4 "city" "city" "city"
219 "city" 7 "city" "city" "city"
220 "city" 2 "city" "city" NA
221 "city" 7 "city" "city" "city"
222 "city" 4 "city" "city" "city"
223 "city" 8 "city" "city" "suburbs"
224 "city" 3 "city" "city" "city"
225 "city" 2 "city" "suburbs" NA
226 "city" 3 "city" "city" "city"
227 "city" 4 "suburbs" "suburbs" "city"
228 "city" 5 "city" "suburbs" "city"
229 "city" 3 "city" "city" "city"
230 "city" 5 "suburbs" "city" "city"
231 "city" 4 "city" "city" "city"
232 "city" 3 "city" "city" "suburbs"
233 "city" 4 "city" "city" "city"
234 "city" 7 "suburbs" "city" "suburbs"
235 "city" 3 "city" "suburbs" "suburbs"
236 "city" 4 "city" "city" "city"
237 "city" 6 "city" "suburbs" "city"
238 "city" 6 "city" "suburbs" "city"
239 "city" 1 "city" NA NA
240 "city" 2 "city" "city" NA
241 "city" 2 "city" "city" NA
242 "city" 3 "city" "city" "city"
243 "city" 4 "city" "suburbs" "city"
244 "city" 1 "city" NA NA
245 "city" 7 "city" "city" "city"
246 "city" 2 "city" "city" NA
247 "city" 4 "city" "city" "suburbs"
248 "city" 1 "city" NA NA
249 "city" 4 "suburbs" "city" "city"
250 "city" 4 "city" "city" "city"
251 "city" 7 "suburbs" "city" "suburbs"
252 "city" 1 "city" NA NA
253 "city" 3 "city" "city" "city"
254 "city" 3 "city" "city" "suburbs"
255 "city" 5 "city" "suburbs" "city"
256 "city" 2 "city" "city" NA
257 "city" 2 "city" "city" NA
258 "city" 3 "suburbs" "city" "suburbs"
259 "city" 4 "city" "city" "suburbs"
260 "city" 3 "city" "suburbs" "city"
261 "city" 3 "city" "city" "city"
262 "city" 3 "city" "city" "city"
263 "city" 4 "suburbs" "city" "city"
264 "city" 6 "city" "city" "city"
265 "city" 2 "city" "city" NA
266 "city" 5 "suburbs" "city" "suburbs"
267 "city" 3 "city" "city" "city"
268 "city" 3 "city" "city" "city"
269 "city" 3 "suburbs" "suburbs" "city"
270 "city" 3 "city" "city" "suburbs"
271 "city" 1 "city" NA NA
272 "city" 8 "city" "city" "city"
273 "city" 6 "city" "city" "city"
274 "city" 8 "city" "suburbs" "suburbs"
275 "city" 4 "city" "city" "city"
276 "city" 4 "city" "city" "city"
277 "city" 6 "city" "city" "city"
278 "city" 6 "city" "suburbs" "city"
279 "city" 2 "city" "suburbs" NA
280 "city" 2 "city" "city" NA
281 "city" 2 "city" "city" NA
282 "city" 3 "city" "city" "city"
283 "city" 2 "city" "city" NA
284 "city" 4 "city" "city" "city"
285 "city" 3 "city" "city" "city"
286 "city" 6 "city" "city" "suburbs"
287 "city" 4 "city" "city" "city"
288 "city" 6 "city" "city" "suburbs"
289 "city" 5 "suburbs" "suburbs" "city"
290 "city" 7 "city" "city" "suburbs"
291 "city" 8 "city" "city" "city"
292 "city" 4 "city" "city" "city"
293 "city" 3 "city" "suburbs" "city"
294 "city" 5 "city" "city" "suburbs"
295 "city" 7 "suburbs" "city" "city"
296 "city" 2 "city" "city" NA
297 "city" 3 "city" "city" "city"
298 "city" 4 "suburbs" "city" "city"
299 "city" 1 "suburbs" NA NA
300 "city" 3 "city" "city" "city"
301 "city" 3 "city" "city" "city"
302 "city" 1 "suburbs" NA NA
303 "city" 4 "suburbs" "city" "city"
304 "city" 5 "city" "city" "city"
305 "city" 5 "suburbs" "city" "suburbs"
306 "city" 3 "city" "city" "city"
307 "city" 5 "city" "city" "city"
308 "city" 6 "suburbs" "suburbs" "suburbs"
309 "city" 1 "city" NA NA
310 "city" 5 "city" "city" "suburbs"
311 "city" 4 "city" "city" "city"
312 "city" 1 "city" NA NA
313 "city" 4 "city" "city" "city"
314 "city" 4 "city" "city" "city"
315 "city" 3 "city" "city" "suburbs"
316 "city" 6 "city" "city" "city"
317 "city" 3 "city" "city" "city"
318 "city" 1 "city" NA NA
319 "city" 6 "city" "city" "city"
320 "city" 6 "city" "city" "city"
321 "city" 1 "city" NA NA
322 "city" 6 "city" "city" "city"
323 "city" 3 "city" "city" "city"
324 "city" 2 "city" "city" NA
325 "city" 5 "city" "city" "city"
326 "city" 4 "suburbs" "city" "city"
327 "city" 3 "city" "city" "suburbs"
328 "city" 3 "city" "city" "city"
329 "city" 5 "city" "city" "city"
330 "city" 8 "city" "city" "suburbs"
331 "city" 4 "city" "city" "city"
332 "city" 3 "city" "city" "city"
333 "city" 4 "city" "city" "city"
334 "city" 4 "city" "city" "suburbs"
335 "city" 5 "suburbs" "city" "city"
336 "city" 4 "city" "suburbs" "city"
337 "city" 2 "city" "suburbs" NA
338 "city" 2 "suburbs" "city" NA
339 "city" 4 "city" "city" "city"
340 "city" 6 "city" "city" "city"
341 "city" 2 "city" "suburbs" NA
342 "city" 4 "suburbs" "city" "city"
343 "city" 4 "suburbs" "city" "city"
344 "city" 2 "city" "city" NA
345 "city" 3 "city" "city" "city"
346 "city" 2 "city" "city" NA
347 "city" 9 "city" "city" "city"
348 "city" 4 "city" "city" "city"
349 "city" 5 "city" "city" "city"
350 "city" 5 "city" "city" "city"
351 "city" 5 "city" "city" "city"
352 "city" 4 "city" "city" "suburbs"
353 "city" 6 "city" "city" "suburbs"
354 "city" 6 "city" "city" "city"
355 "city" 3 "city" "city" "suburbs"
356 "city" 4 "city" "city" "city"
357 "city" 3 "suburbs" "city" "city"
358 "city" 2 "suburbs" "city" NA
359 "city" 5 "city" "city" "city"
360 "city" 2 "suburbs" "city" NA
361 "city" 3 "city" "city" "city"
362 "city" 3 "city" "city" "city"
363 "city" 5 "city" "city" "city"
364 "city" 1 "city" NA NA
365 "city" 6 "city" "city" "city"
366 "city" 5 "suburbs" "city" "city"
367 "city" 2 "city" "city" NA
368 "city" 3 "city" "city" "city"
369 "city" 4 "city" "city" "suburbs"
370 "city" 5 "suburbs" "city" "city"
371 "city" 4 "suburbs" "city" "city"
372 "city" 3 "city" "city" "city"
373 "city" 6 "city" "city" "city"
374 "city" 5 "suburbs" "city" "suburbs"
375 "city" 2 "city" "city" NA
376 "city" 5 "city" "city" "city"
377 "city" 4 "city" "suburbs" "city"
378 "city" 1 "city" NA NA
379 "city" 6 "city" "city" "suburbs"
380 "city" 1 "city" NA NA
381 "city" 2 "suburbs" "city" NA
382 "city" 2 "suburbs" "city" NA
383 "city" 2 "city" "city" NA
384 "city" 5 "suburbs" "city" "city"
385 "city" 7 "city" "city" "city"
386 "city" 5 "city" "city" "city"
387 "city" 2 "city" "city" NA
388 "city" 5 "city" "city" "city"
389 "city" 2 "city" "suburbs" NA
390 "city" 4 "city" "city" "suburbs"
391 "city" 2 "city" "city" NA
392 "city" 5 "city" "suburbs" "city"
393 "city" 8 "city" "city" "city"
394 "city" 5 "city" "city" "city"
395 "city" 1 "city" NA NA
396 "city" 3 "city" "city" "suburbs"
397 "city" 3 "city" "city" "city"
398 "city" 4 "city" "city" "city"
399 "city" 1 "city" NA NA
400 "city" 8 "city" "city" "city"
401 "city" 5 "city" "city" "suburbs"
402 "city" 3 "city" "city" "city"
403 "city" 1 "suburbs" NA NA
404 "city" 3 "suburbs" "city" "city"
405 "city" 9 "suburbs" "city" "city"
406 "city" 6 "city" "city" "city"
407 "city" 7 "city" "city" "city"
408 "city" 3 "suburbs" "city" "city"
409 "city" 6 "city" "city" "city"
410 "city" 7 "suburbs" "suburbs" "city"
411 "city" 1 "city" NA NA
412 "city" 5 "city" "city" "city"
413 "city" 4 "city" "city" "city"
414 "city" 4 "city" "city" "city"
415 "city" 7 "city" "city" "suburbs"
416 "city" 6 "city" "city" "city"
417 "city" 5 "city" "suburbs" "suburbs"
418 "city" 3 "city" "city" "city"
419 "city" 4 "city" "city" "city"
420 "city" 7 "city" "city" "city"
421 "city" 3 "city" "city" "city"
422 "city" 3 "suburbs" "city" "city"
423 "city" 3 "city" "city" "city"
424 "city" 4 "city" "city" "city"
425 "city" 5 "city" "city" "suburbs"
426 "city" 3 "city" "city" "city"
427 "city" 4 "city" "city" "city"
428 "city" 3 "city" "city" "city"
429 "city" 6 "city" "suburbs" "city"
430 "city" 2 "city" "city" NA
431 "city" 2 "city" "suburbs" NA
432 "city" 4 "city" "city" "suburbs"
433 "city" 10 "city" "city" "city"
434 "city" 3 "city" "city" "city"
435 "city" 3 "city" "city" "city"
436 "city" 3 "city" "city" "suburbs"
437 "city" 4 "suburbs" "city" "city"
438 "city" 4 "suburbs" "city" "suburbs"
439 "city" 2 "suburbs" "city" NA
440 "city" 1 "city" NA NA
441 "city" 1 "suburbs" NA NA
442 "city" 4 "suburbs" "city" "suburbs"
443 "city" 5 "suburbs" "city" "city"
444 "city" 3 "city" "city" "city"
445 "city" 2 "city" "suburbs" NA
446 "city" 5 "suburbs" "suburbs" "city"
447 "city" 4 "city" "city" "city"
448 "city" 7 "city" "city" "city"
449 "city" 3 "suburbs" "city" "city"
450 "city" 8 "suburbs" "city" "city"
451 "city" 3 "city" "suburbs" "city"
452 "city" 7 "city" "city" "suburbs"
453 "city" 3 "city" "city" "city"
454 "city" 4 "city" "city" "city"
455 "city" 4 "suburbs" "city" "city"
456 "city" 3 "city" "city" "city"
457 "city" 3 "city" "city" "city"
458 "city" 2 "suburbs" "city" NA
459 "city" 2 "city" "city" NA
460 "city" 8 "city" "city" "city"
461 "city" 5 "city" "suburbs" "city"
462 "city" 3 "city" "city" "city"
463 "city" 4 "city" "city" "city"
464 "city" 3 "city" "suburbs" "city"
465 "city" 4 "city" "suburbs" "city"
466 "city" 5 "city" "suburbs" "city"
467 "city" 5 "city" "city" "city"
468 "city" 1 "city" NA NA
469 "city" 1 "city" NA NA
470 "city" 4 "city" "city" "city"
471 "city" 4 "suburbs" "city" "city"
472 "city" 3 "suburbs" "city" "suburbs"
473 "city" 1 "city" NA NA
474 "city" 5 "city" "city" "city"
475 "city" 3 "city" "city" "suburbs"
476 "city" 1 "city" NA NA
477 "city" 4 "suburbs" "city" "suburbs"
478 "city" 3 "city" "city" "city"
479 "city" 4 "city" "city" "city"
480 "city" 3 "city" "city" "city"
481 "city" 4 "city" "city" "suburbs"
482 "city" 4 "city" "city" "city"
483 "city" 6 "suburbs" "city" "city"
484 "city" 1 "city" NA NA
485 "city" 8 "suburbs" "city" "city"
486 "city" 2 "city" "city" NA
487 "city" 3 "suburbs" "suburbs" "city"
488 "city" 3 "city" "city" "city"
489 "city" 2 "city" "suburbs" NA
490 "city" 3 "suburbs" "city" "city"
491 "city" 6 "city" "city" "suburbs"
492 "city" 7 "city" "city" "city"
493 "city" 1 "city" NA NA
494 "city" 2 "city" "suburbs" NA
495 "city" 6 "suburbs" "city" "city"
496 "city" 1 "city" NA NA
497 "city" 6 "city" "city" "city"
498 "city" 3 "city" "city" "city"
499 "city" 7 "suburbs" "city" "city"
500 "city" 1 "city" NA NA
501 "suburbs" 5 "suburbs" "suburbs" "suburbs"
502 "suburbs" 5 "suburbs" "suburbs" "suburbs"
503 "suburbs" 4 "suburbs" "city" "suburbs"
504 "suburbs" 5 "suburbs" "city" "suburbs"
505 "suburbs" 5 "suburbs" "suburbs" "suburbs"
506 "suburbs" 4 "suburbs" "suburbs" "suburbs"
507 "suburbs" 7 "suburbs" "suburbs" "suburbs"
508 "suburbs" 5 "suburbs" "suburbs" "suburbs"
509 "suburbs" 1 "suburbs" NA NA
510 "suburbs" 6 "suburbs" "city" "suburbs"
511 "suburbs" 5 "suburbs" "suburbs" "suburbs"
512 "suburbs" 3 "suburbs" "suburbs" "suburbs"
513 "suburbs" 2 "suburbs" "suburbs" NA
514 "suburbs" 2 "suburbs" "suburbs" NA
515 "suburbs" 4 "city" "city" "suburbs"
516 "suburbs" 4 "suburbs" "suburbs" "suburbs"
517 "suburbs" 3 "suburbs" "suburbs" "suburbs"
518 "suburbs" 6 "suburbs" "suburbs" "suburbs"
519 "suburbs" 1 "suburbs" NA NA
520 "suburbs" 5 "suburbs" "suburbs" "suburbs"
521 "suburbs" 6 "city" "suburbs" "city"
522 "suburbs" 2 "suburbs" "suburbs" NA
523 "suburbs" 1 "suburbs" NA NA
524 "suburbs" 3 "city" "city" "city"
525 "suburbs" 1 "city" NA NA
526 "suburbs" 3 "suburbs" "suburbs" "suburbs"
527 "suburbs" 2 "suburbs" "suburbs" NA
528 "suburbs" 3 "suburbs" "suburbs" "suburbs"
529 "suburbs" 2 "city" "city" NA
530 "suburbs" 3 "suburbs" "city" "suburbs"
531 "suburbs" 2 "suburbs" "city" NA
532 "suburbs" 4 "city" "suburbs" "suburbs"
533 "suburbs" 4 "suburbs" "suburbs" "city"
534 "suburbs" 3 "suburbs" "suburbs" "suburbs"
535 "suburbs" 4 "suburbs" "city" "suburbs"
536 "suburbs" 1 "suburbs" NA NA
537 "suburbs" 3 "suburbs" "suburbs" "suburbs"
538 "suburbs" 2 "suburbs" "suburbs" NA
539 "suburbs" 3 "city" "city" "city"
540 "suburbs" 6 "suburbs" "suburbs" "city"
541 "suburbs" 2 "suburbs" "suburbs" NA
542 "suburbs" 1 "city" NA NA
543 "suburbs" 1 "suburbs" NA NA
544 "suburbs" 2 "city" "city" NA
545 "suburbs" 4 "city" "suburbs" "city"
546 "suburbs" 2 "suburbs" "suburbs" NA
547 "suburbs" 2 "suburbs" "city" NA
548 "suburbs" 8 "city" "suburbs" "suburbs"
549 "suburbs" 2 "suburbs" "city" NA
550 "suburbs" 2 "suburbs" "city" NA
551 "suburbs" 7 "suburbs" "suburbs" "suburbs"
552 "suburbs" 1 "suburbs" NA NA
553 "suburbs" 2 "suburbs" "suburbs" NA
554 "suburbs" 2 "suburbs" "suburbs" NA
555 "suburbs" 4 "suburbs" "suburbs" "suburbs"
556 "suburbs" 9 "suburbs" "suburbs" "suburbs"
557 "suburbs" 3 "suburbs" "suburbs" "city"
558 "suburbs" 3 "suburbs" "city" "suburbs"
559 "suburbs" 8 "suburbs" "suburbs" "suburbs"
560 "suburbs" 2 "city" "suburbs" NA
561 "suburbs" 3 "suburbs" "suburbs" "suburbs"
562 "suburbs" 4 "suburbs" "suburbs" "suburbs"
563 "suburbs" 7 "suburbs" "suburbs" "suburbs"
564 "suburbs" 7 "suburbs" "suburbs" "suburbs"
565 "suburbs" 3 "suburbs" "suburbs" "suburbs"
566 "suburbs" 5 "suburbs" "suburbs" "suburbs"
567 "suburbs" 3 "suburbs" "suburbs" "suburbs"
568 "suburbs" 3 "suburbs" "suburbs" "suburbs"
569 "suburbs" 1 "suburbs" NA NA
570 "suburbs" 4 "suburbs" "suburbs" "city"
571 "suburbs" 3 "suburbs" "suburbs" "suburbs"
572 "suburbs" 2 "suburbs" "suburbs" NA
573 "suburbs" 2 "suburbs" "suburbs" NA
574 "suburbs" 3 "suburbs" "city" "suburbs"
575 "suburbs" 2 "suburbs" "suburbs" NA
576 "suburbs" 5 "suburbs" "city" "suburbs"
577 "suburbs" 5 "city" "city" "suburbs"
578 "suburbs" 3 "suburbs" "suburbs" "suburbs"
579 "suburbs" 3 "suburbs" "suburbs" "city"
580 "suburbs" 3 "city" "suburbs" "suburbs"
581 "suburbs" 1 "suburbs" NA NA
582 "suburbs" 2 "suburbs" "suburbs" NA
583 "suburbs" 3 "suburbs" "suburbs" "city"
584 "suburbs" 3 "suburbs" "suburbs" "suburbs"
585 "suburbs" 2 "suburbs" "suburbs" NA
586 "suburbs" 5 "suburbs" "suburbs" "suburbs"
587 "suburbs" 5 "suburbs" "suburbs" "city"
588 "suburbs" 6 "suburbs" "suburbs" "suburbs"
589 "suburbs" 4 "suburbs" "suburbs" "suburbs"
590 "suburbs" 1 "suburbs" NA NA
591 "suburbs" 3 "suburbs" "suburbs" "suburbs"
592 "suburbs" 3 "suburbs" "suburbs" "city"
593 "suburbs" 2 "suburbs" "suburbs" NA
594 "suburbs" 7 "suburbs" "suburbs" "suburbs"
595 "suburbs" 2 "suburbs" "suburbs" NA
596 "suburbs" 1 "city" NA NA
597 "suburbs" 6 "suburbs" "suburbs" "suburbs"
598 "suburbs" 2 "suburbs" "suburbs" NA
599 "suburbs" 1 "city" NA NA
600 "suburbs" 4 "city" "city" "suburbs"
601 "suburbs" 4 "suburbs" "suburbs" "city"
602 "suburbs" 3 "suburbs" "suburbs" "suburbs"
603 "suburbs" 2 "suburbs" "suburbs" NA
604 "suburbs" 2 "suburbs" "city" NA
605 "suburbs" 2 "suburbs" "suburbs" NA
606 "suburbs" 4 "suburbs" "suburbs" "suburbs"
607 "suburbs" 1 "suburbs" NA NA
608 "suburbs" 1 "suburbs" NA NA
609 "suburbs" 1 "suburbs" NA NA
610 "suburbs" 3 "suburbs" "suburbs" "suburbs"
611 "suburbs" 3 "suburbs" "suburbs" "suburbs"
612 "suburbs" 4 "suburbs" "suburbs" "suburbs"
613 "suburbs" 4 "city" "city" "suburbs"
614 "suburbs" 4 "city" "suburbs" "suburbs"
615 "suburbs" 3 "suburbs" "city" "city"
616 "suburbs" 3 "suburbs" "suburbs" "suburbs"
617 "suburbs" 2 "suburbs" "suburbs" NA
618 "suburbs" 4 "city" "suburbs" "suburbs"
619 "suburbs" 3 "suburbs" "suburbs" "suburbs"
620 "suburbs" 1 "city" NA NA
621 "suburbs" 5 "suburbs" "suburbs" "suburbs"
622 "suburbs" 5 "suburbs" "suburbs" "suburbs"
623 "suburbs" 3 "suburbs" "suburbs" "suburbs"
624 "suburbs" 5 "suburbs" "suburbs" "suburbs"
625 "suburbs" 1 "city" NA NA
626 "suburbs" 3 "suburbs" "suburbs" "suburbs"
627 "suburbs" 7 "suburbs" "suburbs" "suburbs"
628 "suburbs" 5 "suburbs" "suburbs" "suburbs"
629 "suburbs" 2 "suburbs" "suburbs" NA
630 "suburbs" 2 "suburbs" "suburbs" NA
631 "suburbs" 3 "suburbs" "suburbs" "suburbs"
632 "suburbs" 3 "suburbs" "suburbs" "suburbs"
633 "suburbs" 2 "suburbs" "city" NA
634 "suburbs" 2 "suburbs" "suburbs" NA
635 "suburbs" 7 "suburbs" "suburbs" "city"
636 "suburbs" 1 "suburbs" NA NA
637 "suburbs" 4 "suburbs" "suburbs" "suburbs"
638 "suburbs" 2 "suburbs" "suburbs" NA
639 "suburbs" 5 "suburbs" "suburbs" "city"
640 "suburbs" 1 "city" NA NA
641 "suburbs" 1 "suburbs" NA NA
642 "suburbs" 2 "suburbs" "suburbs" NA
643 "suburbs" 8 "suburbs" "suburbs" "suburbs"
644 "suburbs" 2 "city" "suburbs" NA
645 "suburbs" 4 "suburbs" "suburbs" "suburbs"
646 "suburbs" 1 "suburbs" NA NA
647 "suburbs" 2 "suburbs" "city" NA
648 "suburbs" 3 "suburbs" "suburbs" "suburbs"
649 "suburbs" 4 "suburbs" "suburbs" "suburbs"
650 "suburbs" 5 "suburbs" "suburbs" "suburbs"
651 "suburbs" 4 "suburbs" "suburbs" "suburbs"
652 "suburbs" 2 "suburbs" "suburbs" NA
653 "suburbs" 1 "suburbs" NA NA
654 "suburbs" 5 "city" "city" "suburbs"
655 "suburbs" 2 "suburbs" "suburbs" NA
656 "suburbs" 4 "city" "suburbs" "suburbs"
657 "suburbs" 7 "city" "suburbs" "suburbs"
658 "suburbs" 4 "suburbs" "suburbs" "city"
659 "suburbs" 3 "city" "suburbs" "city"
660 "suburbs" 4 "suburbs" "suburbs" "suburbs"
661 "suburbs" 4 "suburbs" "suburbs" "suburbs"
662 "suburbs" 2 "suburbs" "suburbs" NA
663 "suburbs" 3 "suburbs" "city" "city"
664 "suburbs" 6 "suburbs" "suburbs" "city"
