"ids"	"type"	"gender"	"grade96"	"grade97"	"race"	"missing96"	"missing97"
118483	"student"	"female"	8	9	"white"	0	0
118537	"student"	"female"	11	12	"white"	0	0
118543	"student"	"female"	11	12	"white"	0	0
118608	"student"	"male"	10	11	"white"	0	0
118615	"student"	"male"	10	11	"white"	0	0
118626	"student"	"male"	10	11	"Asian"	0	0
118671	"student"	"male"	9	10	"white"	0	0
118680	"student"	"female"	9	10	"white"	0	0
118699	"student"	"female"	11	12	"Asian"	0	0
118871	"student"	"female"	10	11	"black"	0	0
118872	"student"	"male"	10	11	"black"	0	0
118944	"student"	"male"	10	11	"black"	0	0
118968	"student"	"female"	9	10	"black"	0	0
119263	"student"	"male"	11	12	"Hispanic"	0	0
119284	"student"	"male"	10	11	"white"	0	0
119301	"student"	"female"	11	12	"black"	0	0
119324	"student"	"male"	10	11	"white"	0	0
119336	"student"	"female"	10	11	"Asian"	0	0
119342	"student"	"female"	10	11	"black"	0	0
119361	"student"	"male"	9	10	"white"	0	0
119371	"student"	"female"	9	10	"white"	0	0
119447	"student"	"female"	8	9	"white"	0	0
119516	"student"	"female"	11	12	"white"	0	0
119687	"student"	"male"	8	9	"white"	0	0
119744	"student"	"female"	7	8	"black"	1	0
119745	"student"	"male"	7	8	"white"	1	0
120202	"student"	"female"	11	12	"white"	0	0
120236	"student"	"female"	11	12	"white"	0	0
120664	"student"	"male"	11	12	"white"	0	0
120729	"student"	"female"	10	11	"white"	0	0
120849	"student"	"female"	11	12	"white"	0	0
120854	"student"	"female"	11	12	"white"	0	0
120864	"student"	"female"	11	12	"black"	0	0
120888	"student"	"female"	11	12	"white"	0	0
120927	"student"	"female"	10	11	"white"	0	0
120942	"student"	"female"	10	11	"black"	0	0
120961	"student"	"female"	10	11	"white"	0	0
121314	"student"	"male"	11	12	"white"	0	0
121331	"student"	"female"	11	12	"black"	0	0
121353	"student"	"male"	11	12	"white"	0	0
121373	"student"	"female"	10	11	"white"	0	0
121375	"student"	"female"	10	11	"white"	0	0
121385	"student"	"male"	10	11	"white"	0	0
121388	"student"	"male"	10	11	"black"	0	0
121389	"student"	"female"	10	11	"black"	0	0
121396	"student"	"male"	10	11	"white"	0	0
121399	"student"	"male"	10	11	"black"	0	0
121402	"student"	"male"	10	11	"white"	0	0
121406	"student"	"male"	10	11	"black"	0	0
121455	"student"	"female"	9	10	"white"	0	0
121456	"student"	"female"	9	10	"white"	0	0
121461	"student"	"female"	9	10	"white"	0	0
121470	"student"	"male"	9	10	"white"	0	0
121482	"student"	"male"	11	12	"black"	0	0
121485	"student"	"female"	10	11	"black"	0	0
121829	"student"	"female"	10	11	"white"	0	0
121852	"student"	"female"	9	10	"white"	0	0
121856	"student"	"male"	9	10	"white"	0	0
121857	"student"	"male"	9	10	"white"	0	0
121864	"student"	"female"	9	10	"white"	0	0
122568	"student"	"female"	11	12	"white"	0	0
122615	"student"	"male"	11	12	"white"	0	0
122616	"student"	"male"	11	12	"Asian"	0	0
122617	"student"	"male"	11	12	"Asian"	0	0
122618	"student"	"female"	11	12	"white"	0	0
122619	"student"	"female"	11	12	"white"	0	0
122620	"student"	"female"	11	12	"white"	0	0
122621	"student"	"male"	11	12	"white"	0	0
122622	"student"	"male"	11	12	"white"	0	0
122624	"student"	"male"	11	12	"white"	0	0
122625	"student"	"male"	11	12	"white"	0	0
122626	"student"	"male"	11	12	"white"	0	0
122627	"student"	"female"	11	12	"white"	0	0
122628	"student"	"female"	11	12	"white"	0	0
122630	"student"	"female"	11	12	"white"	0	0
122631	"student"	"female"	11	12	"white"	0	0
122632	"student"	"male"	11	12	"white"	0	0
122634	"student"	"female"	11	12	"white"	0	0
122635	"student"	"female"	11	12	"Asian"	0	0
122637	"student"	"female"	11	12	"white"	0	0
122638	"student"	"female"	11	12	"white"	0	0
122639	"student"	"female"	11	12	"white"	0	0
122640	"student"	"female"	11	12	"white"	0	0
122641	"student"	"male"	11	12	"black"	0	0
122642	"student"	"female"	11	12	"white"	0	0
122644	"student"	"female"	11	12	"white"	0	0
122652	"student"	"male"	10	11	"Asian"	0	0
122656	"student"	"female"	10	11	"white"	0	0
122658	"student"	"female"	10	11	"white"	0	0
122659	"student"	"female"	10	11	"Hispanic"	0	0
122660	"student"	"female"	10	11	"white"	0	0
122661	"student"	"female"	10	11	"white"	0	0
122662	"student"	"male"	10	11	"white"	0	0
122663	"student"	"male"	10	11	"white"	0	0
122664	"student"	"male"	10	11	"white"	0	0
122665	"student"	"female"	10	11	"white"	0	0
122666	"student"	"female"	10	11	"black"	0	0
122667	"student"	"male"	10	11	"white"	0	0
122668	"student"	"male"	10	11	"white"	0	0
122669	"student"	"male"	10	11	"black"	0	0
122670	"student"	"male"	10	11	"white"	0	0
122671	"student"	"male"	10	11	"white"	0	0
122672	"student"	"female"	10	11	"white"	0	0
122673	"student"	"female"	10	11	"white"	0	0
122675	"student"	"female"	10	11	"Asian"	0	0
122676	"student"	"female"	10	11	"Asian"	0	0
122677	"student"	"female"	10	11	"Asian"	0	0
122680	"student"	"female"	10	11	"white"	0	0
122682	"student"	"male"	10	11	"Asian"	0	0
122683	"student"	"female"	10	11	"Asian"	0	0
122684	"student"	"female"	10	11	"white"	0	0
122685	"student"	"female"	10	11	"white"	0	0
122687	"student"	"female"	10	11	"Native American"	0	0
122688	"student"	"male"	10	11	"white"	0	0
122689	"student"	"male"	10	11	"white"	0	0
122691	"student"	"female"	10	11	"white"	0	0
122692	"student"	"female"	10	11	"white"	0	0
122698	"student"	"female"	10	11	"black"	0	0
122703	"student"	"female"	10	11	"white"	0	0
122706	"student"	"male"	9	10	"black"	0	0
122707	"student"	"male"	9	10	"white"	0	0
122708	"student"	"female"	9	10	"white"	0	0
122709	"student"	"female"	9	10	"white"	0	0
122710	"student"	"male"	9	10	"white"	0	0
122711	"student"	"female"	9	10	"white"	0	0
122712	"student"	"female"	9	10	"white"	0	0
122713	"student"	"female"	9	10	"white"	0	0
122714	"student"	"male"	9	10	"Hispanic"	0	0
122715	"student"	"male"	9	10	"white"	0	0
122716	"student"	"female"	9	10	"white"	0	0
122717	"student"	"male"	9	10	"white"	0	0
122718	"student"	"female"	9	10	"white"	0	0
122719	"student"	"male"	9	10	"black"	0	0
122721	"student"	"female"	9	10	"white"	0	0
122722	"student"	"male"	9	10	"Hispanic"	0	0
122723	"student"	"male"	9	10	"white"	0	0
122724	"student"	"female"	9	10	"white"	0	0
122726	"student"	"male"	9	10	"white"	0	0
122727	"student"	"male"	9	10	"white"	0	0
122728	"student"	"female"	9	10	"white"	0	0
122729	"student"	"male"	9	10	"white"	0	0
122730	"student"	"male"	9	10	"white"	0	0
122731	"student"	"female"	9	10	"white"	0	0
122732	"student"	"female"	9	10	"white"	0	0
122733	"student"	"male"	9	10	"white"	0	0
122734	"student"	"male"	9	10	"Hispanic"	0	0
122735	"student"	"female"	9	10	"Hispanic"	0	0
122736	"student"	"male"	9	10	"Hispanic"	0	0
122738	"student"	"male"	9	10	"Asian"	0	0
122739	"student"	"female"	10	11	"white"	0	0
122740	"student"	"male"	9	10	"Hispanic"	0	0
122744	"student"	"female"	8	9	"white"	0	0
122745	"student"	"male"	8	9	"white"	0	0
122746	"student"	"male"	8	9	"white"	0	0
122747	"student"	"male"	8	9	"black"	0	0
122748	"student"	"female"	8	9	"white"	0	0
122749	"student"	"female"	8	9	"white"	0	0
123938	"student"	"male"	11	12	"black"	0	0
124451	"student"	"male"	11	12	"white"	0	0
124860	"student"	"female"	11	12	"black"	0	0
125457	"student"	"male"	11	12	"black"	0	0
125522	"student"	"male"	9	10	"white"	0	0
125546	"student"	"female"	7	8	"Hispanic"	1	0
125567	"student"	"female"	9	10	"black"	0	0
125599	"student"	"male"	6	7	"white"	1	1
125605	"student"	"female"	6	7	"white"	1	1
125607	"student"	"female"	6	7	"white"	1	1
125609	"student"	"male"	6	7	"black"	1	1
125680	"student"	"female"	7	8	"white"	1	0
126046	"student"	"female"	9	10	"white"	0	0
126062	"student"	"male"	9	10	"white"	0	0
126066	"student"	"female"	9	10	"black"	0	0
126075	"student"	"female"	9	10	"white"	0	0
126101	"student"	"female"	9	10	"Hispanic"	0	0
126104	"student"	"male"	9	10	"Asian"	0	0
126209	"student"	"female"	7	8	"white"	1	0
126212	"student"	"female"	7	8	"black"	1	0
126255	"student"	"female"	10	11	"black"	0	0
126259	"student"	"male"	10	11	"black"	0	0
126264	"student"	"male"	10	11	"Asian"	0	0
126274	"student"	"female"	10	11	"white"	0	0
126281	"student"	"male"	10	11	"white"	0	0
126330	"student"	"male"	10	11	"black"	0	0
126353	"student"	"male"	10	11	"black"	0	0
126359	"student"	"female"	9	10	"white"	0	0
126360	"student"	"male"	9	10	"black"	0	0
126368	"student"	"female"	9	10	"black"	0	0
126380	"student"	"female"	9	10	"black"	0	0
126412	"student"	"female"	9	10	"black"	0	0
126451	"student"	"male"	8	9	"white"	0	0
126455	"student"	"female"	8	9	"black"	0	0
126488	"student"	"female"	8	9	"white"	0	0
126495	"student"	"female"	8	9	"black"	0	0
126508	"student"	"male"	7	8	"white"	1	0
126512	"student"	"male"	7	8	"white"	1	0
126542	"student"	"female"	7	8	"white"	1	0
126572	"student"	"female"	7	8	"black"	1	0
126574	"student"	"female"	10	11	"white"	0	0
126576	"student"	"female"	7	8	"black"	1	0
126616	"student"	"male"	6	7	"black"	1	1
126629	"student"	"female"	6	7	"white"	1	1
126640	"student"	"female"	6	7	"Asian"	1	1
126648	"student"	"male"	6	7	"white"	1	1
126664	"student"	"male"	11	12	"white"	0	0
126686	"student"	"female"	9	10	"black"	0	0
126687	"student"	"male"	10	11	"white"	0	0
126757	"student"	"female"	7	8	"black"	1	0
126761	"student"	"male"	7	8	"Asian"	1	0
126774	"student"	"female"	8	9	"black"	0	0
126782	"student"	"female"	11	12	"black"	0	0
126783	"student"	"female"	8	9	"black"	0	0
126784	"student"	"female"	9	10	"black"	0	0
126805	"student"	"female"	6	7	"white"	1	1
126809	"student"	"female"	6	7	"white"	1	1
126818	"student"	"male"	6	7	"white"	1	1
126819	"student"	"female"	6	7	"white"	1	1
126821	"student"	"male"	7	8	"black"	1	0
126823	"student"	"male"	9	10	"white"	0	0
126825	"student"	"male"	7	8	"white"	1	0
126869	"student"	"female"	10	11	"white"	0	0
126872	"student"	"female"	9	10	"black"	0	0
127131	"student"	"female"	10	11	"black"	0	0
127189	"student"	"female"	9	10	"black"	0	0
127198	"student"	"male"	9	10	"black"	0	0
127218	"student"	"male"	10	11	"white"	0	0
127241	"student"	"female"	9	10	"black"	0	0
127265	"student"	"female"	10	11	"Asian"	0	0
127319	"student"	"male"	9	10	"Asian"	0	0
127329	"student"	"male"	9	10	"Asian"	0	0
127344	"student"	"female"	9	10	"white"	0	0
127419	"student"	"male"	8	9	"Asian"	0	0
127459	"student"	"male"	7	8	"white"	1	0
127470	"student"	"male"	7	8	"white"	1	0
127474	"student"	"female"	7	8	"white"	1	0
127476	"student"	"male"	7	8	"Asian"	1	0
127480	"student"	"male"	7	8	"Asian"	1	0
127502	"student"	"female"	9	10	"black"	0	0
127510	"student"	"male"	9	10	"white"	0	0
127518	"student"	"male"	9	10	"white"	0	0
127519	"student"	"male"	9	10	"white"	0	0
127530	"student"	"female"	9	10	"Asian"	0	0
127535	"student"	"female"	9	10	"black"	0	0
127565	"student"	"male"	8	9	"white"	0	0
127571	"student"	"male"	8	9	"white"	0	0
127582	"student"	"male"	8	9	"white"	0	0
127636	"student"	NA	NA	NA	NA	1	1
127645	"student"	"female"	7	8	"white"	1	0
127650	"student"	"male"	8	9	"white"	0	0
127727	"student"	"female"	6	7	"black"	1	1
127731	"student"	"female"	6	7	"black"	1	1
127742	"student"	"female"	9	10	"white"	0	0
127747	"student"	"female"	6	7	"white"	1	1
127761	"student"	"female"	9	10	"black"	0	0
127777	"student"	"male"	10	11	"black"	0	0
127805	"student"	"female"	8	9	"black"	0	0
127816	"student"	"male"	8	9	"white"	0	0
127847	"student"	"female"	8	9	"black"	0	0
127855	"student"	"female"	8	9	"black"	0	0
127883	"student"	"female"	7	8	"black"	1	0
127885	"student"	"female"	7	8	"black"	1	0
127892	"student"	"female"	7	8	"black"	1	0
127906	"student"	"female"	7	8	"black"	1	0
127919	"student"	"female"	8	9	"white"	0	0
127976	"student"	"female"	6	7	"black"	1	1
128033	"student"	"female"	9	10	"white"	0	0
128041	"student"	"male"	9	10	"white"	0	0
128057	"student"	"female"	9	10	"white"	0	0
128060	"student"	"male"	9	10	"white"	0	0
128065	"student"	"female"	10	11	"Asian"	0	0
128126	"student"	"female"	8	9	"white"	0	0
128152	"student"	"male"	8	9	"Asian"	0	0
128168	"student"	"female"	9	10	"white"	0	0
128172	"student"	"female"	10	11	"Hispanic"	0	0
128204	"student"	"female"	7	8	"white"	1	0
128214	"student"	"male"	7	8	"white"	1	0
128225	"student"	"male"	7	8	"white"	1	0
128398	"student"	"male"	10	11	"white"	0	0
128404	"student"	"male"	10	11	"white"	0	0
128412	"student"	"female"	10	11	"Asian"	0	0
128413	"student"	"female"	10	11	"white"	0	0
128423	"student"	"female"	10	11	"white"	0	0
128446	"student"	"female"	10	11	"black"	0	0
128551	"student"	"male"	7	8	"black"	1	0
128570	"student"	"female"	7	8	"Asian"	1	0
128589	"student"	"male"	7	8	"white"	1	0
128593	"student"	"female"	7	8	"black"	1	0
128619	"student"	"female"	7	8	"black"	1	0
128632	"student"	"female"	6	7	"Hispanic"	1	1
128648	"student"	"male"	6	7	"black"	1	1
128790	"student"	"female"	11	12	"black"	0	0
128852	"student"	"male"	10	11	"black"	0	0
128860	"student"	"female"	10	11	"black"	0	0
128962	"student"	"male"	9	10	"Asian"	0	0
128985	"student"	"female"	9	10	"black"	0	0
128996	"student"	"female"	9	10	"black"	0	0
128997	"student"	"female"	10	11	"white"	0	0
129047	"student"	"male"	10	11	"white"	0	0
129058	"student"	"male"	11	12	"white"	0	0
129059	"student"	"male"	11	12	"white"	0	0
129083	"student"	"female"	11	12	"black"	0	0
129101	"student"	"male"	11	12	"white"	0	0
129114	"student"	"female"	11	12	"black"	0	0
129148	"student"	"female"	10	11	"white"	0	0
129151	"student"	"female"	10	11	"black"	0	0
129154	"student"	"female"	10	11	"black"	0	0
129156	"student"	"male"	10	11	"black"	0	0
129158	"student"	"female"	10	11	"black"	0	0
129193	"student"	"female"	10	11	"white"	0	0
129204	"student"	"male"	11	12	"black"	0	0
129229	"student"	"male"	10	11	"black"	0	0
129235	"student"	"female"	11	12	"black"	0	0
129250	"student"	"female"	11	12	"black"	0	0
129256	"student"	"female"	11	12	"white"	0	0
129292	"student"	"male"	11	12	"black"	0	0
129331	"student"	"male"	11	12	"black"	0	0
129340	"student"	"male"	10	11	"white"	0	0
129347	"student"	"male"	10	11	"white"	0	0
129351	"student"	"male"	10	11	"black"	0	0
129354	"student"	"female"	10	11	"white"	0	0
129366	"student"	"female"	10	11	"white"	0	0
129372	"student"	"male"	10	11	"white"	0	0
129377	"student"	"female"	10	11	"white"	0	0
129473	"student"	"female"	9	10	"white"	0	0
129475	"student"	"female"	9	10	"white"	0	0
129482	"student"	"female"	9	10	"white"	0	0
129483	"student"	"male"	9	10	"white"	0	0
129484	"student"	"male"	9	10	"white"	0	0
129486	"student"	"female"	9	10	"black"	0	0
129555	"student"	"female"	7	8	"white"	1	0
129644	"student"	"male"	6	7	"white"	1	1
129669	"student"	"female"	6	7	"white"	1	1
129780	"student"	"female"	11	12	"black"	0	0
129792	"student"	"female"	11	12	"black"	0	0
129796	"student"	"female"	11	12	"Asian"	0	0
129800	"student"	"male"	11	12	"black"	0	0
129801	"student"	"female"	11	12	"white"	0	0
129817	"student"	"female"	11	12	"black"	0	0
130519	"student"	"female"	6	7	"white"	1	1
131087	"student"	"female"	11	12	"white"	0	0
131256	"student"	"male"	9	10	"white"	0	0
131298	"student"	"female"	7	8	"white"	1	0
131311	"student"	"female"	7	8	"white"	1	0
131313	"student"	"male"	7	8	"white"	1	0
131317	"student"	"female"	7	8	"white"	1	0
131371	"student"	"male"	6	7	"white"	1	1
131383	"student"	"male"	7	8	"white"	1	0
131466	"student"	"male"	6	7	"white"	1	1
131477	"student"	"female"	7	8	"white"	1	0
131503	"student"	"male"	10	11	"black"	0	0
131567	"student"	"male"	8	9	"black"	0	0
131586	"student"	"female"	8	9	"black"	0	0
131623	"student"	"male"	7	8	"black"	1	0
131642	"student"	"male"	11	12	"black"	0	0
131643	"student"	"female"	8	9	"black"	0	0
131699	"student"	"female"	6	7	"black"	1	1
131709	"student"	"male"	6	7	"black"	1	1
131726	"student"	"male"	6	7	"black"	1	1
131934	"student"	"female"	11	12	"black"	0	0
132006	"student"	"female"	7	8	"white"	1	0
132642	"student"	"female"	10	11	"Asian"	0	0
132657	"student"	"female"	9	10	"white"	0	0
132669	"student"	"female"	10	11	"white"	0	0
132730	"student"	"female"	9	10	"white"	0	0
132798	"student"	"female"	11	12	"white"	0	0
132833	"student"	"female"	10	11	"black"	0	0
132843	"student"	"male"	10	11	"white"	0	0
132850	"student"	"female"	10	11	"white"	0	0
132863	"student"	"male"	10	11	"white"	0	0
132886	"student"	"male"	10	11	"Native American"	0	0
132942	"student"	"female"	9	10	"white"	0	0
132947	"student"	"female"	9	10	"white"	0	0
132959	"student"	"female"	9	10	"white"	0	0
132996	"student"	"female"	9	10	"white"	0	0
133016	"student"	"female"	11	12	"black"	0	0
133017	"student"	"male"	11	12	"white"	0	0
133022	"student"	"male"	11	12	"white"	0	0
133025	"student"	"female"	11	12	"white"	0	0
133027	"student"	"male"	11	12	"white"	0	0
133042	"student"	"male"	11	12	"white"	0	0
133101	"student"	"female"	10	11	"white"	0	0
133105	"student"	"male"	10	11	"white"	0	0
133106	"student"	"female"	10	11	"white"	0	0
133132	"student"	"male"	10	11	"white"	0	0
133143	"student"	"female"	10	11	"white"	0	0
133187	"student"	"female"	10	11	"black"	0	0
133314	"student"	"female"	9	10	"white"	0	0
133365	"student"	"female"	9	10	"white"	0	0
133434	"student"	"male"	8	9	"white"	0	0
133441	"student"	"female"	8	9	"white"	0	0
133505	"student"	"male"	9	10	"white"	0	0
133507	"student"	"male"	9	10	"white"	0	0
133523	"student"	"male"	9	10	"white"	0	0
133560	"student"	"male"	9	10	"Asian"	0	0
133568	"student"	"male"	10	11	"white"	0	0
133574	"student"	"male"	8	9	"white"	0	0
133579	"student"	"male"	8	9	"white"	0	0
133595	"student"	"female"	8	9	"white"	0	0
133596	"student"	"female"	8	9	"white"	0	0
133600	"student"	"female"	8	9	"white"	0	0
133604	"student"	"male"	8	9	"white"	0	0
133647	"student"	"female"	7	8	"black"	1	0
133687	"student"	"male"	7	8	"white"	1	0
133698	"student"	"female"	7	8	"black"	1	0
133702	"student"	"male"	7	8	"white"	1	0
133735	"student"	"female"	6	7	"black"	1	1
133746	"student"	"male"	6	7	"white"	1	1
133763	"student"	"male"	11	12	"black"	0	0
133923	"student"	"female"	11	12	"white"	0	0
133924	"student"	"male"	11	12	"black"	0	0
133959	"student"	"male"	11	12	"black"	0	0
133962	"student"	"male"	11	12	"white"	0	0
133964	"student"	"male"	11	12	"white"	0	0
133970	"student"	"female"	11	12	"white"	0	0
133976	"student"	"male"	11	12	"white"	0	0
134002	"student"	"male"	10	11	"white"	0	0
134009	"student"	"female"	9	10	"black"	0	0
134023	"student"	"male"	11	12	"white"	0	0
134037	"student"	"male"	8	9	"white"	0	0
134039	"student"	"male"	8	9	"white"	0	0
134040	"student"	"male"	8	9	"white"	0	0
134043	"student"	"female"	8	9	"white"	0	0
134051	"student"	"female"	8	9	"white"	0	0
134058	"student"	"female"	8	9	"white"	0	0
134065	"student"	"female"	8	9	"white"	0	0
134072	"student"	"male"	9	10	"white"	0	0
134073	"student"	"female"	8	9	"white"	0	0
134093	"student"	"male"	10	11	"white"	0	0
134095	"student"	"male"	8	9	"white"	0	0
134107	"student"	"female"	8	9	"black"	0	0
134139	"student"	"male"	7	8	"white"	1	0
134140	"student"	"male"	7	8	"black"	1	0
134147	"student"	"male"	7	8	"white"	1	0
134163	"student"	"male"	7	8	"black"	1	0
134167	"student"	"female"	7	8	"black"	1	0
134172	"student"	"male"	8	9	"black"	0	0
134187	"student"	"female"	7	8	"black"	1	0
134201	"student"	"male"	6	7	"white"	1	1
134204	"student"	"female"	6	7	"white"	1	1
134206	"student"	"female"	6	7	"white"	1	1
134211	"student"	"female"	6	7	"white"	1	1
134216	"student"	"female"	6	7	"white"	1	1
134224	"student"	"female"	10	11	"white"	0	0
134236	"student"	"female"	11	12	"white"	0	0
134244	"student"	"male"	6	7	"black"	1	1
134405	"student"	"male"	11	12	"white"	0	0
134494	"student"	"male"	9	10	"white"	0	0
134534	"student"	"male"	6	7	"black"	1	1
136837	"student"	"male"	11	12	"black"	0	0
136884	"student"	"male"	10	11	"white"	0	0
136912	"student"	"male"	9	10	"black"	0	0
136922	"student"	"female"	9	10	"white"	0	0
136925	"student"	"female"	10	11	"white"	0	0
136934	"student"	"female"	9	10	"white"	0	0
136997	"student"	"female"	7	8	"black"	1	0
137515	"student"	"male"	9	10	"white"	0	0
137517	"student"	"female"	9	10	"white"	0	0
137536	"student"	"female"	8	9	"white"	0	0
137539	"student"	"male"	8	9	"white"	0	0
137542	"student"	"female"	9	10	"white"	0	0
137581	"student"	"female"	8	9	"white"	0	0
137603	"student"	"female"	6	7	"black"	1	1
137611	"student"	"male"	7	8	"black"	1	0
137627	"student"	"female"	7	8	"black"	1	0
137834	"student"	"female"	8	9	"black"	0	0
137839	"student"	"female"	8	9	"white"	0	0
138131	"student"	"male"	11	12	"black"	0	0
138287	"student"	"female"	11	12	"black"	0	0
138459	"student"	"female"	9	10	"black"	0	0
138468	"student"	"female"	9	10	"black"	0	0
138473	"student"	"female"	9	10	"black"	0	0
